espectro,Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Level ID,Reference,Lande
H I,"=""1s""","=""2S""","=""1/2""",2.0,"=""""","=""0.00000000000000""","=""""","=""0.00000000000012""","="" 100                    ""","=""001001.001.000001""","=""""",
H I,"=""2p""","=""2P*""","=""1/2""",2.0,"=""""","=""10.19880615024""","=""""","=""0.00000000004""","="" 100                    ""","=""001001.001.000002""","=""L15291""",
H I,"=""2p""","=""2P*""","=""3/2""",4.0,"=""""","=""10.19885151459""","=""""","=""0.00000000005""","="" 100                    ""","=""001001.001.000004""","=""L15291""",
H I,"=""2s""","=""2S""","=""1/2""",2.0,"=""""","=""10.19881052514816""","=""""","=""0.00000000000012""","="" 100                    ""","=""001001.001.000003""","=""L15291""",
H I,"=""2""","=""""","=""""",8.0,"=""""","=""10.1988358""","=""""","=""0.0000012""","="" 100                    ""","=""001001.001.000059""","=""L15291""",
H I,"=""3p""","=""2P*""","=""1/2""",2.0,"=""""","=""12.0874936591""","=""""","=""0.0000000009""","="" 100                    ""","=""001001.001.000005""","=""L15291""",
H I,"=""3p""","=""2P*""","=""3/2""",4.0,"=""""","=""12.0875071004""","=""""","=""0.0000000009""","="" 100                    ""","=""001001.001.000008""","=""L15291""",
H I,"=""3s""","=""2S""","=""1/2""",2.0,"=""""","=""12.0874949611""","=""""","=""0.0000000009""","="" 100                    ""","=""001001.001.000006""","=""L15291""",
H I,"=""3""","=""""","=""""",18.0,"=""""","=""12.0875052""","=""""","=""0.0000006""","="" 100                    ""","=""001001.001.000060""","=""L15291""",
H I,"=""3d""","=""2D""","=""3/2""",4.0,"=""""","=""12.0875070783""","=""""","=""0.0000000025""","="" 100                    ""","=""001001.001.000007""","=""L15291""",
H I,"=""3d""","=""2D""","=""5/2""",6.0,"=""""","=""12.0875115582""","=""""","=""0.0000000009""","="" 100                    ""","=""001001.001.000009""","=""L15291""",
H I,"=""4p""","=""2P*""","=""1/2""",2.0,"=""""","=""12.74853244632""","=""""","=""0.00000000006""","="" 100                    ""","=""001001.001.000010""","=""L15291""",
H I,"=""4p""","=""2P*""","=""3/2""",4.0,"=""""","=""12.74853811674""","=""""","=""0.00000000004""","="" 100                    ""","=""001001.001.000013""","=""L15291""",
H I,"=""4s""","=""2S""","=""1/2""",2.0,"=""""","=""12.74853299663""","=""""","=""0.00000000004""","="" 100                    ""","=""001001.001.000011""","=""L15291""",
H I,"=""4d""","=""2D""","=""3/2""",4.0,"=""""","=""12.7485381084""","=""""","=""0.0000000010""","="" 100                    ""","=""001001.001.000012""","=""L15291""",
H I,"=""4d""","=""2D""","=""5/2""",6.0,"=""""","=""12.74853999753""","=""""","=""0.00000000010""","="" 100                    ""","=""001001.001.000015""","=""L15291""",
H I,"=""4""","=""""","=""""",32.0,"=""""","=""12.7485393""","=""""","=""0.0000004""","="" 100                    ""","=""001001.001.000061""","=""L15291""",
H I,"=""4f""","=""2F*""","=""5/2""",6.0,"=""""","=""12.748539998""","=""""","=""0.000000006""","="" 100                    ""","=""001001.001.000014""","=""L15291""",
H I,"=""4f""","=""2F*""","=""7/2""",8.0,"=""""","=""12.7485409403""","=""""","=""0.0000000016""","="" 100                    ""","=""001001.001.000016""","=""L15291""",
H I,"=""5p""","=""2P*""","=""1/2""",2.0,"=""""","=""13.054498182""","=""""","=""0.000000005""","="" 100                    ""","=""001001.001.000017""","=""L15291""",
H I,"=""5p""","=""2P*""","=""3/2""",4.0,"=""""","=""13.054501086""","=""""","=""0.000000005""","="" 100                    ""","=""001001.001.000020""","=""L15291""",
H I,"=""5s""","=""2S""","=""1/2""",2.0,"=""[""","=""13.054498464""","=""]""","=""0.000000005""","="" 100                    ""","=""001001.001.000018""","=""L15291""",
H I,"=""5d""","=""2D""","=""3/2""",4.0,"=""""","=""13.054501074""","=""""","=""0.000000003""","="" 100                    ""","=""001001.001.000019""","=""L15291""",
H I,"=""5d""","=""2D""","=""5/2""",6.0,"=""[""","=""13.054502042""","=""]""","=""0.000000003""","="" 100                    ""","=""001001.001.000021""","=""L15291""",
H I,"=""5""","=""""","=""""",50.0,"=""""","=""13.0545017""","=""""","=""0.0000005""","="" 100                    ""","=""001001.001.000062""","=""L15291""",
H I,"=""5f""","=""2F*""","=""5/2""",6.0,"=""(""","=""13.054502046336""","="")""","=""0.000000000010""","="" 100                    ""","=""001001.001.000098""","=""L15291""",
H I,"=""5f""","=""2F*""","=""7/2""",8.0,"=""""","=""13.054502526""","=""""","=""0.000000006""","="" 100                    ""","=""001001.001.000022""","=""L15291""",
H I,"=""5g""","=""2G""","=""7/2""",8.0,"=""(""","=""13.054502529303""","="")""","=""0.000000000010""","="" 100                    ""","=""001001.001.000099""","=""L15291""",
H I,"=""5g""","=""2G""","=""9/2""",10.0,"=""(""","=""13.054502819633""","="")""","=""0.000000000010""","="" 100                    ""","=""001001.001.000100""","=""L15291""",
H I,"=""6p""","=""2P*""","=""1/2""",2.0,"=""[""","=""13.22070146198""","=""]""","=""0.00000000012""","="" 100                    ""","=""001001.001.000023""","=""L15291""",
H I,"=""6p""","=""2P*""","=""3/2""",4.0,"=""[""","=""13.22070314214""","=""]""","=""0.00000000012""","="" 100                    ""","=""001001.001.000026""","=""L15291""",
H I,"=""6s""","=""2S""","=""1/2""",2.0,"=""""","=""13.22070162532""","=""""","=""0.00000000009""","="" 100                    ""","=""001001.001.000024""","=""L15291""",
H I,"=""6d""","=""2D""","=""3/2""",4.0,"=""[""","=""13.22070313941""","=""]""","=""0.00000000016""","="" 100                    ""","=""001001.001.000025""","=""L15291""",
H I,"=""6d""","=""2D""","=""5/2""",6.0,"=""""","=""13.22070369934""","=""""","=""0.00000000005""","="" 100                    ""","=""001001.001.000027""","=""L15291""",
H I,"=""6f""","=""2F*""","=""5/2""",6.0,"=""(""","=""13.220703699081""","="")""","=""0.000000000010""","="" 100                    ""","=""001001.001.000101""","=""L15291""",
