element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,ID_i,ID_k,
C,2,"=""4.2767""","=""0.0004""","=""4.2766""","=""0.0004""","=""a*""","=""9.e+10""","=""2.3e-02""","=""-1.33""",D+,"=""0.000000""","=""2338290""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.2s2.2p2""","=""2S""","=""1/2""",2,2,,"=""T9848LS""","=""L20274""","=""006002.000001""","=""006002.000359""",
C,2,"=""4.2767""","=""0.0004""","=""4.2767""","=""0.0004""","=""a*""","=""1.7e+11""","=""2.3e-02""","=""-1.03""",D+,"=""63.395090""","=""2338290""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.2s2.2p2""","=""2S""","=""1/2""",4,2,,"=""T9848LS""","=""L20274""","=""006002.000002""","=""006002.000359""",
C,2,"=""4.2836""","=""0.0004""","=""4.2836""","=""0.0004""","=""a*""","=""6.e+10""","=""2.3e-02""","=""-1.0""",E,"=""43024.9""","=""2377500""","=""2s.2p2""","=""4P""","=""3/2""","=""1s.2s.(3S). 2p3.(2P*)""","=""4P*""","=""5/2""",4,6,,"=""T9848LS""","=""L20274""","=""006002.000004""","=""006002.000367""",
C,2,"=""4.2836""","=""0.0004""","=""4.2836""","=""0.0004""","=""a*""","=""2.5e+10""","=""7.e-03""","=""-1.6""",E,"=""43024.9""","=""2377500""","=""2s.2p2""","=""4P""","=""3/2""","=""1s.2s.(3S). 2p3.(2P*)""","=""4P*""","=""3/2""",4,4,,"=""T9848LS""","=""L20274""","=""006002.000004""","=""006002.000366""",
C,2,"=""4.2836""","=""0.0004""","=""4.2836""","=""0.0004""","=""a*""","=""1.5e+11""","=""2.1e-02""","=""-1.1""",E,"=""43024.9""","=""2377500""","=""2s.2p2""","=""4P""","=""3/2""","=""1s.2s.(3S). 2p3.(2P*)""","=""4P*""","=""1/2""",4,2,,"=""T9848LS""","=""L20274""","=""006002.000004""","=""006002.000365""",
C,2,"=""4.2836""","=""0.0004""","=""4.2836""","=""0.0004""","=""a*""","=""8.e+10""","=""4.e-02""","=""-1.1""",E,"=""43002.8""","=""2377500""","=""2s.2p2""","=""4P""","=""1/2""","=""1s.2s.(3S). 2p3.(2P*)""","=""4P*""","=""3/2""",2,4,,"=""T9848LS""","=""L20274""","=""006002.000003""","=""006002.000366""",
C,2,"=""4.2836""","=""0.0004""","=""4.2836""","=""0.0004""","=""a*""","=""3.1e+10""","=""9.e-03""","=""-1.8""",E,"=""43002.8""","=""2377500""","=""2s.2p2""","=""4P""","=""1/2""","=""1s.2s.(3S). 2p3.(2P*)""","=""4P*""","=""1/2""",2,2,,"=""T9848LS""","=""L20274""","=""006002.000003""","=""006002.000365""",
C,2,"=""4.2836""","=""0.0004""","=""4.2837""","=""0.0004""","=""a*""","=""1.3e+11""","=""3.6e-02""","=""-0.7""",E,"=""43053.2""","=""2377500""","=""2s.2p2""","=""4P""","=""5/2""","=""1s.2s.(3S). 2p3.(2P*)""","=""4P*""","=""5/2""",6,6,,"=""T9848LS""","=""L20274""","=""006002.000005""","=""006002.000367""",
C,2,"=""4.2836""","=""0.0004""","=""4.2837""","=""0.0004""","=""a*""","=""8.e+10""","=""1.5e-02""","=""-1.0""",E,"=""43053.2""","=""2377500""","=""2s.2p2""","=""4P""","=""5/2""","=""1s.2s.(3S). 2p3.(2P*)""","=""4P*""","=""3/2""",6,4,,"=""T9848LS""","=""L20274""","=""006002.000005""","=""006002.000366""",
C,2,"=""4.2988""","=""0.0005""","=""4.2987""","=""0.0004""","=""a*""","=""1.4e+11""","=""7.6e-02""","=""-0.82""",D+,"=""0.000000""","=""2326280""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.2s2.2p2""","=""2P""","=""3/2""",2,4,,"=""T9848LS""","=""L20274""","=""006002.000001""","=""006002.000358""",
C,2,"=""4.2988""","=""0.0005""","=""4.2988""","=""0.0004""","=""a*""","=""6.8e+11""","=""1.9e-01""","=""-0.12""",D+,"=""63.395090""","=""2326280""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.2s2.2p2""","=""2P""","=""3/2""",4,4,,"=""T9848LS""","=""L20274""","=""006002.000002""","=""006002.000358""",
C,2,"=""4.2988""","=""0.0005""","=""4.2989""","=""0.0004""","=""a*""","=""5.5e+11""","=""1.5e-01""","=""-0.52""",D+,"=""0.000000""","=""2326190""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.2s2.2p2""","=""2P""","=""1/2""",2,2,,"=""T9848LS""","=""L20274""","=""006002.000001""","=""006002.000357""",
C,2,"=""4.2988""","=""0.0005""","=""4.2990""","=""0.0004""","=""a*""","=""2.7e+11""","=""3.8e-02""","=""-0.82""",D+,"=""63.395090""","=""2326190""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.2s2.2p2""","=""2P""","=""1/2""",4,2,,"=""T9848LS""","=""L20274""","=""006002.000002""","=""006002.000357""",
C,2,"=""4.3060""","=""0.0004""","=""4.3060""","=""0.0004""","=""a*""","=""2.5e+11""","=""1.4e-01""","=""-0.56""",D+,"=""0.000000""","=""2322360""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.2s2.2p2""","=""2D""","=""3/2""",2,4,,"=""T9848LS""","=""L20274""","=""006002.000001""","=""006002.000355""",
C,2,"=""4.3060""","=""0.0004""","=""4.3061""","=""0.0004""","=""a*""","=""3.0e+11""","=""1.2e-01""","=""-0.31""",D+,"=""63.395090""","=""2322360""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.2s2.2p2""","=""2D""","=""5/2""",4,6,,"=""T9848LS""","=""L20274""","=""006002.000002""","=""006002.000356""",
C,2,"=""4.3060""","=""0.0004""","=""4.3061""","=""0.0004""","=""a*""","=""4.9e+10""","=""1.4e-02""","=""-1.26""",D+,"=""63.395090""","=""2322360""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.2s2.2p2""","=""2D""","=""3/2""",4,4,,"=""T9848LS""","=""L20274""","=""006002.000002""","=""006002.000355""",
C,2,"=""4.3150""","=""0.0004""","=""4.3149""","=""0.0004""","=""a*""","=""1.1e+11""","=""6.e-02""","=""-0.9""",E,"=""43002.8""","=""2360540""","=""2s.2p2""","=""4P""","=""1/2""","=""1s.2s.(3S). 2p3.(2D*)""","=""4D*""","=""3/2""",2,4,,"=""T9848LS""","=""L20274""","=""006002.000003""","=""006002.000362""",
C,2,"=""4.3150""","=""0.0004""","=""4.3149""","=""0.0004""","=""a*""","=""2.1e+11""","=""6.e-02""","=""-0.9""",E,"=""43002.8""","=""2360540""","=""2s.2p2""","=""4P""","=""1/2""","=""1s.2s.(3S). 2p3.(2D*)""","=""4D*""","=""1/2""",2,2,,"=""T9848LS""","=""L20274""","=""006002.000003""","=""006002.000361""",
C,2,"=""4.3150""","=""0.0004""","=""4.3150""","=""0.0004""","=""a*""","=""2.5e+11""","=""9.e-02""","=""-0.2""",E,"=""43053.2""","=""2360540""","=""2s.2p2""","=""4P""","=""5/2""","=""1s.2s.(3S). 2p3.(2D*)""","=""4D*""","=""7/2""",6,8,,"=""T9848LS""","=""L20274""","=""006002.000005""","=""006002.000364""",
