Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Level ID,Reference
"=""2s2.2p""","=""2P*""","=""1/2""",2,"=""""","=""0.00000000""","=""""","=""0.00000000""","=""  95         :     4  2p3            2P*  ""","=""005001.000001""","=""L12312"""
"=""2s2.2p""","=""2P*""","=""3/2""",4,"=""""","=""0.0018953""","=""""","=""0.0000004""","=""  95         :     4  2p3            2P*  ""","=""005001.000002""","=""L12312"""
"=""2s.2p2""","=""4P""","=""1/2""",2,"=""""","=""3.55183""","=""+x""","=""0.00022""","="" 100                                      ""","=""005001.000003""","=""L12312"""
"=""2s.2p2""","=""4P""","=""3/2""",4,"=""""","=""3.55240""","=""+x""","=""0.00022""","="" 100                                      ""","=""005001.000004""","=""L12312"""
"=""2s.2p2""","=""4P""","=""5/2""",6,"=""""","=""3.55319""","=""+x""","=""0.00022""","="" 100                                      ""","=""005001.000005""","=""L12312"""
"=""2s2.3s""","=""2S""","=""1/2""",2,"=""""","=""4.9642890""","=""""","=""0.0000003""","=""  95         :     5  2p2.(1S).3s    2S   ""","=""005001.000006""","=""L12312"""
"=""2s.2p2""","=""2D""","=""5/2""",6,"=""""","=""5.9334881""","=""""","=""0.0000005""","=""  79         :     7  2s2.3d         2D   ""","=""005001.000007""","=""L12312"""
"=""2s.2p2""","=""2D""","=""3/2""",4,"=""""","=""5.9335273""","=""""","=""0.0000005""","=""  79         :     7  2s2.3d         2D   ""","=""005001.000008""","=""L12312"""
"=""2s2.3p""","=""2P*""","=""1/2""",2,"=""""","=""6.0271033""","=""""","=""0.0000004""","=""  91         :     7  2p2.(1S).3p    2P*  ""","=""005001.000009""","=""L12312"""
"=""2s2.3p""","=""2P*""","=""3/2""",4,"=""""","=""6.0273243""","=""""","=""0.0000003""","=""  91         :     7  2p2.(1S).3p    2P*  ""","=""005001.000010""","=""L12312"""
"=""2s2.3d""","=""2D""","=""3/2""",4,"=""""","=""6.79032869""","=""""","=""0.00000025""","=""  88         :     7  2s.2p2         2D   ""","=""005001.000011""","=""L12312"""
"=""2s2.3d""","=""2D""","=""5/2""",6,"=""""","=""6.7903466""","=""""","=""0.0000004""","=""  88         :     7  2s.2p2         2D   ""","=""005001.000012""","=""L12312"""
"=""2s2.4s""","=""2S""","=""1/2""",2,"=""""","=""6.8203997""","=""""","=""0.0000003""","=""  95         :     5  2p2.(1S).4s    2S   ""","=""005001.000013""","=""L12312"""
"=""2s2.4p""","=""2P*""","=""1/2""",2,"=""""","=""7.1646047""","=""""","=""0.0000004""","=""  92         :     7  2p2.(1S).4p    2P*  ""","=""005001.000014""","=""L12312"""
"=""2s2.4p""","=""2P*""","=""3/2""",4,"=""""","=""7.1646833""","=""""","=""0.0000004""","=""  92         :     7  2p2.(1S).4p    2P*  ""","=""005001.000015""","=""L12312"""
"=""2s2.4d""","=""2D""","=""3/2""",4,"=""""","=""7.438240""","=""""","=""0.000016""","=""  93         :     5  2p2.(1S).4d    2D   ""","=""005001.000016""","=""L12312"""
"=""2s2.4d""","=""2D""","=""5/2""",6,"=""""","=""7.438240""","=""""","=""0.000016""","=""  93         :     5  2p2.(1S).4d    2D   ""","=""005001.000121""","=""L12312"""
"=""2s2.4f""","=""2F*""","=""5/2""",6,"=""""","=""7.4429049""","=""""","=""0.0000004""","=""  92         :     8  2p2.(1S).4f    2F*  ""","=""005001.000017""","=""L12312"""
"=""2s2.4f""","=""2F*""","=""7/2""",8,"=""""","=""7.4429055""","=""""","=""0.0000004""","=""  92         :     8  2p2.(1S).4f    2F*  ""","=""005001.000018""","=""L12312"""
"=""2s2.5s""","=""2S""","=""1/2""",2,"=""""","=""7.4572049""","=""""","=""0.0000012""","=""  86         :     5  2p2.(1S).5s    2S   ""","=""005001.000019""","=""L12312"""
"=""2s2.5p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.61679""","=""""","=""0.00014""","=""  92         :     7  2p2.(1S).5p    2P*  ""","=""005001.000020""","=""L12312"""
"=""2s2.6s""","=""2S""","=""1/2""",2,"=""""","=""7.746801""","=""""","=""0.000017""","=""  77         :    12  2s.2p2         2S   ""","=""005001.000021""","=""L12312"""
"=""2s2.5d""","=""2D""","=""3/2""",4,"=""""","=""7.747215""","=""""","=""0.000017""","=""  94         :     5  2p2.(1S).5d    2D   ""","=""005001.000022""","=""L12312"""
"=""2s2.5d""","=""2D""","=""5/2""",6,"=""""","=""7.747215""","=""""","=""0.000017""","=""  94         :     5  2p2.(1S).5d    2D   ""","=""005001.000120""","=""L12312"""
"=""2s2.5f""","=""2F*""","=""5/2""",6,"=""""","=""7.7510655""","=""""","=""0.0000004""","=""  92         :     8  2p2.(1S).5f    2F*  ""","=""005001.000023""","=""L12312"""
"=""2s2.5f""","=""2F*""","=""7/2""",8,"=""""","=""7.7510655""","=""""","=""0.0000004""","=""  92         :     8  2p2.(1S).5f    2F*  ""","=""005001.000125""","=""L12312"""
"=""2s2.6p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.84364""","=""""","=""0.00014""","=""  92         :     7  2p2.(1S).6p    2P*  ""","=""005001.000024""","=""L12312"""
"=""2s.2p2""","=""2S""","=""1/2""",2,"=""""","=""7.880515""","=""""","=""0.000017""","=""  35         :    31  2s2.7s         2S   ""","=""005001.000025""","=""L12312"""
"=""2s2.6d""","=""2D""","=""3/2""",4,"=""""","=""7.915811""","=""""","=""0.000017""","=""  95         :     5  2p2.(1S).6d    2D   ""","=""005001.000026""","=""L12312"""
"=""2s2.6d""","=""2D""","=""5/2""",6,"=""""","=""7.915811""","=""""","=""0.000017""","=""  95         :     5  2p2.(1S).6d    2D   ""","=""005001.000119""","=""L12312"""
"=""2s2.6f""","=""2F*""","=""5/2""",6,"=""""","=""7.918415""","=""""","=""0.000004""","=""  92         :     8  2p2.(1S).6f    2F*  ""","=""005001.000027""","=""L12312"""
"=""2s2.6f""","=""2F*""","=""7/2""",8,"=""""","=""7.918415""","=""""","=""0.000004""","=""  92         :     8  2p2.(1S).6f    2F*  ""","=""005001.000124""","=""L12312"""
"=""2s2.7s""","=""2S""","=""1/2""",2,"=""""","=""7.954332""","=""""","=""0.000019""","=""  58         :    31  2s.2p2         2S   ""","=""005001.000028""","=""L12312"""
"=""2s2.7p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.97322""","=""""","=""0.00015""","=""  92         :     7  2p2.(1S).7p    2P*  ""","=""005001.000029""","=""L12312"""
"=""2s2.7d""","=""2D""","=""3/2""",4,"=""""","=""8.017482""","=""""","=""0.000019""","=""  95         :     5  2p2.(1S).7d    2D   ""","=""005001.000030""","=""L12312"""
"=""2s2.7d""","=""2D""","=""5/2""",6,"=""""","=""8.017482""","=""""","=""0.000019""","=""  95         :     5  2p2.(1S).7d    2D   ""","=""005001.000118""","=""L12312"""
"=""2s2.7f""","=""2F*""","=""5/2""",6,"=""""","=""8.019266""","=""""","=""0.000004""","=""  92         :     8  2p2.(1S).7f    2F*  ""","=""005001.000031""","=""L12312"""
"=""2s2.7f""","=""2F*""","=""7/2""",8,"=""""","=""8.019266""","=""""","=""0.000004""","=""  92         :     8  2p2.(1S).7f    2F*  ""","=""005001.000123""","=""L12312"""
"=""2s2.8s""","=""2S""","=""1/2""",2,"=""""","=""8.033195""","=""""","=""0.000019""","=""  83         :    12  2s.2p2         2S   ""","=""005001.000032""","=""L12312"""
