Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Level ID,Reference
"=""1s2.2s""","=""2S""","=""1/2""",2,"=""""","=""0.000000""","=""""","=""0.00004""","="" 100                                           ""","=""004002.000001""","=""L12158"""
"=""1s2.2p""","=""2P*""","=""1/2""",2,"=""""","=""3.958660""","=""""","=""0.00004""","="" 100                                           ""","=""004002.000002""","=""L12158"""
"=""1s2.2p""","=""2P*""","=""3/2""",4,"=""""","=""3.959475""","=""""","=""0.00004""","="" 100                                           ""","=""004002.000003""","=""L12158"""
"=""1s2.3s""","=""2S""","=""1/2""",2,"=""""","=""10.9393633""","=""""","=""0.0000000""","="" 100                                           ""","=""004002.000004""","=""L12158"""
"=""1s2.3p""","=""2P*""","=""1/2""",2,"=""""","=""11.9638999""","=""""","=""0.0000017""","="" 100                                           ""","=""004002.000005""","=""L12158"""
"=""1s2.3p""","=""2P*""","=""3/2""",4,"=""""","=""11.9641389""","=""""","=""0.0000017""","="" 100                                           ""","=""004002.000006""","=""L12158"""
"=""1s2.3d""","=""2D""","=""3/2""",4,"=""""","=""12.157217""","=""""","=""0.000012""","="" 100                                           ""","=""004002.000007""","=""L12158"""
"=""1s2.3d""","=""2D""","=""5/2""",6,"=""""","=""12.157283""","=""""","=""0.000012""","="" 100                                           ""","=""004002.000008""","=""L12158"""
"=""1s2.4s""","=""2S""","=""1/2""",2,"=""""","=""14.315766""","=""""","=""0.000009""","="" 100                                           ""","=""004002.000009""","=""L12158"""
"=""1s2.4p""","=""2P*""","=""1/2""",2,"=""""","=""14.724427""","=""""","=""0.000011""","="" 100                                           ""","=""004002.000010""","=""L12158"""
"=""1s2.4p""","=""2P*""","=""3/2""",4,"=""""","=""14.724527""","=""""","=""0.000011""","="" 100                                           ""","=""004002.000011""","=""L12158"""
"=""1s2.4d""","=""2D""","=""3/2""",4,"=""""","=""14.806342""","=""""","=""0.000007""","="" 100                                           ""","=""004002.000012""","=""L12158"""
"=""1s2.4d""","=""2D""","=""5/2""",6,"=""""","=""14.806372""","=""""","=""0.000007""","="" 100                                           ""","=""004002.000013""","=""L12158"""
"=""1s2.4f""","=""2F*""","=""5/2""",6,"=""""","=""14.809490""","=""""","=""0.000015""","="" 100                                           ""","=""004002.000014""","=""L12158"""
"=""1s2.4f""","=""2F*""","=""7/2""",8,"=""""","=""14.809506""","=""""","=""0.000015""","="" 100                                           ""","=""004002.000015""","=""L12158"""
"=""1s2.5s""","=""2S""","=""1/2""",2,"=""""","=""15.787543""","=""""","=""0.000011""","="" 100                                           ""","=""004002.000016""","=""L12158"""
"=""1s2.5p""","=""2P*""","=""1/2""",2,"=""""","=""15.990443""","=""""","=""0.000010""","="" 100                                           ""","=""004002.000017""","=""L12158"""
"=""1s2.5p""","=""2P*""","=""3/2""",4,"=""""","=""15.990496""","=""""","=""0.000010""","="" 100                                           ""","=""004002.000018""","=""L12158"""
"=""1s2.5d""","=""2D""","=""3/2""",4,"=""""","=""16.032413""","=""""","=""0.000011""","="" 100                                           ""","=""004002.000019""","=""L12158"""
"=""1s2.5d""","=""2D""","=""5/2""",6,"=""""","=""16.032428""","=""""","=""0.000011""","="" 100                                           ""","=""004002.000020""","=""L12158"""
"=""1s2.5f""","=""2F*""","=""5/2""",6,"=""""","=""16.034114""","=""""","=""0.000007""","="" 100                                           ""","=""004002.000021""","=""L12158"""
"=""1s2.5f""","=""2F*""","=""7/2""",8,"=""""","=""16.034123""","=""""","=""0.000007""","="" 100                                           ""","=""004002.000022""","=""L12158"""
"=""1s2.5g""","=""2G""","=""9/2""",10,"=""""","=""16.034313""","=""""","=""0.000017""","="" 100                                           ""","=""004002.000024""","=""L12158"""
"=""1s2.5g""","=""2G""","=""7/2""",8,"=""""","=""16.034313""","=""""","=""0.000017""","="" 100                                           ""","=""004002.000023""","=""L12158"""
"=""1s2.6s""","=""2S""","=""1/2""",2,"=""""","=""16.558888""","=""""","=""0.000012""","="" 100                                           ""","=""004002.000025""","=""L12158"""
"=""1s2.6p""","=""2P*""","=""1/2""",2,"=""""","=""16.674061""","=""""","=""0.000015""","="" 100                                           ""","=""004002.000026""","=""L12158"""
"=""1s2.6p""","=""2P*""","=""3/2""",4,"=""""","=""16.674091""","=""""","=""0.000015""","="" 100                                           ""","=""004002.000027""","=""L12158"""
"=""1s2.6d""","=""2D""","=""5/2""",6,"=""""","=""16.698334""","=""""","=""0.000012""","="" 100                                           ""","=""004002.000029""","=""L12158"""
"=""1s2.6d""","=""2D""","=""3/2""",4,"=""""","=""16.698334""","=""""","=""0.000012""","="" 100                                           ""","=""004002.000028""","=""L12158"""
"=""1s2.6f""","=""2F*""","=""5/2""",6,"=""""","=""16.699332""","=""""","=""0.000015""","="" 100                                           ""","=""004002.000030""","=""L12158"""
"=""1s2.6f""","=""2F*""","=""7/2""",8,"=""""","=""16.699336""","=""""","=""0.000015""","="" 100                                           ""","=""004002.000031""","=""L12158"""
"=""1s2.6g""","=""2G""","=""9/2""",10,"=""""","=""16.699452""","=""""","=""0.000025""","="" 100                                           ""","=""004002.000033""","=""L12158"""
"=""1s2.6g""","=""2G""","=""7/2""",8,"=""""","=""16.699452""","=""""","=""0.000025""","="" 100                                           ""","=""004002.000032""","=""L12158"""
"=""1s2.6h""","=""2H*""","=""11/2""",12,"=""[""","=""16.699487""","=""]""","=""0.000015""","="" 100                                           ""","=""004002.000035""","=""L12158"""
"=""1s2.6h""","=""2H*""","=""9/2""",10,"=""[""","=""16.699487""","=""]""","=""0.000015""","="" 100                                           ""","=""004002.000034""","=""L12158"""
"=""1s2.7s""","=""2S""","=""1/2""",2,"=""[""","=""17.012960""","=""]""","=""0.000015""","="" 100                                           ""","=""004002.000036""","=""L12158"""
"=""1s2.7p""","=""2P*""","=""1/2""",2,"=""[""","=""17.084523""","=""]""","=""0.000015""","="" 100                                           ""","=""004002.000037""","=""L12158"""
"=""1s2.7p""","=""2P*""","=""3/2""",4,"=""[""","=""17.084541""","=""]""","=""0.000015""","="" 100                                           ""","=""004002.000038""","=""L12158"""
"=""1s2.7d""","=""2D""","=""5/2""",6,"=""""","=""17.099798""","=""""","=""0.000011""","="" 100                                           ""","=""004002.000040""","=""L12158"""
"=""1s2.7d""","=""2D""","=""3/2""",4,"=""""","=""17.099798""","=""""","=""0.000011""","="" 100                                           ""","=""004002.000039""","=""L12158"""
"=""1s2.7f""","=""2F*""","=""7/2""",8,"=""""","=""17.100435""","=""""","=""0.000025""","="" 100                                           ""","=""004002.000042""","=""L12158"""
"=""1s2.7f""","=""2F*""","=""5/2""",6,"=""""","=""17.100435""","=""""","=""0.000025""","="" 100                                           ""","=""004002.000041""","=""L12158"""
