Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""1s2.2s2""","=""1S""","=""0""",1,"=""""","=""0.00000000""","=""""","=""0.00000000""","=""004001.000001""","=""L9172"""
"=""1s2.2s.2p""","=""3P*""","=""0""",1,"=""""","=""2.724963""","=""""","=""0.000010""","=""004001.000002""","=""L9172"""
"=""1s2.2s.2p""","=""3P*""","=""1""",3,"=""""","=""2.7250394""","=""""","=""0.0000012""","=""004001.000003""","=""L9172"""
"=""1s2.2s.2p""","=""3P*""","=""2""",5,"=""""","=""2.725329""","=""""","=""0.000009""","=""004001.000004""","=""L9172"""
"=""1s2.2s.2p""","=""1P*""","=""1""",3,"=""""","=""5.27744322""","=""""","=""0.00000012""","=""004001.000005""","=""L20591"""
"=""1s2.2s.3s""","=""3S""","=""1""",3,"=""""","=""6.457214""","=""""","=""0.000007""","=""004001.000006""","=""L9172"""
"=""1s2.2s.3s""","=""1S""","=""0""",1,"=""""","=""6.779127""","=""""","=""0.000003""","=""004001.000007""","=""L9172"""
"=""1s2.2p2""","=""1D""","=""2""",5,"=""""","=""7.0525370""","=""""","=""0.000003""","=""004001.000008""","=""L9172"""
"=""1s2.2s.3p""","=""3P*""","=""0""",1,"=""""","=""7.303596""","=""""","=""0.000007""","=""004001.000009""","=""L9172"""
"=""1s2.2s.3p""","=""3P*""","=""1""",3,"=""""","=""7.303596""","=""""","=""0.000007""","=""004001.000010""","=""L9172"""
"=""1s2.2s.3p""","=""3P*""","=""2""",5,"=""""","=""7.303641""","=""""","=""0.000007""","=""004001.000011""","=""L9172"""
"=""1s2.2p2""","=""3P""","=""0""",1,"=""""","=""7.401063""","=""""","=""0.000010""","=""004001.000012""","=""L9172"""
"=""1s2.2p2""","=""3P""","=""1""",3,"=""""","=""7.401235""","=""""","=""0.000007""","=""004001.000013""","=""L9172"""
"=""1s2.2p2""","=""3P""","=""2""",5,"=""""","=""7.401482""","=""""","=""0.000009""","=""004001.000014""","=""L9172"""
"=""1s2.2s.3p""","=""1P*""","=""1""",3,"=""""","=""7.4622919""","=""""","=""0.000003""","=""004001.000015""","=""L9172"""
"=""1s2.2s.3d""","=""3D""","=""1""",3,"=""""","=""7.6936830""","=""""","=""0.000007""","=""004001.000016""","=""L9172"""
"=""1s2.2s.3d""","=""3D""","=""2""",5,"=""""","=""7.693683""","=""""","=""0.000007""","=""004001.000017""","=""L9172"""
"=""1s2.2s.3d""","=""3D""","=""3""",7,"=""""","=""7.693683""","=""""","=""0.000007""","=""004001.000018""","=""L9172"""
"=""1s2.2s.3d""","=""1D""","=""2""",5,"=""""","=""7.98810393""","=""""","=""0.00000006""","=""004001.000019""","=""L21345"""
"=""1s2.2s.4s""","=""3S""","=""1""",3,"=""""","=""7.997785""","=""""","=""0.000007""","=""004001.000020""","=""L9172"""
"=""1s2.2s.4s""","=""1S""","=""0""",1,"=""""","=""8.089403""","=""""","=""0.000003""","=""004001.000021""","=""L9172"""
"=""1s2.2s.4p""","=""3P*""","=""0""",1,"=""""","=""8.283619""","=""""","=""0.000017""","=""004001.000022""","=""L9172"""
"=""1s2.2s.4p""","=""3P*""","=""1""",3,"=""""","=""8.283619""","=""""","=""0.000011""","=""004001.000023""","=""L9172"""
"=""1s2.2s.4p""","=""3P*""","=""2""",5,"=""""","=""8.283619""","=""""","=""0.000010""","=""004001.000024""","=""L9172"""
"=""1s2.2s.4p""","=""1P*""","=""1""",3,"=""""","=""8.311256""","=""""","=""0.000004""","=""004001.000025""","=""L9172"""
"=""1s2.2s.4d""","=""3D""","=""1""",3,"=""""","=""8.423689""","=""""","=""0.000010""","=""004001.000026""","=""L9172"""
"=""1s2.2s.4d""","=""3D""","=""2""",5,"=""""","=""8.423691""","=""""","=""0.000009""","=""004001.000027""","=""L9172"""
"=""1s2.2s.4d""","=""3D""","=""3""",7,"=""""","=""8.423695""","=""""","=""0.000009""","=""004001.000028""","=""L9172"""
"=""1s2.2s.4f""","=""3F*""","=""4""",9,"=""""","=""8.46081""","=""""","=""0.00004""","=""004001.000031""","=""L9172"""
"=""1s2.2s.4f""","=""3F*""","=""2""",5,"=""""","=""8.460811""","=""""","=""0.000007""","=""004001.000029""","=""L9172"""
"=""1s2.2s.4f""","=""3F*""","=""3""",7,"=""""","=""8.460811""","=""""","=""0.000007""","=""004001.000030""","=""L9172"""
"=""1s2.2s.4f""","=""1F*""","=""3""",7,"=""""","=""8.460843""","=""""","=""0.000004""","=""004001.000032""","=""L9172"""
"=""1s2.2s.4d""","=""1D""","=""2""",5,"=""""","=""8.527752""","=""""","=""0.000009""","=""004001.000033""","=""L9172"""
"=""1s2.2s.5s""","=""3S""","=""1""",3,"=""""","=""8.556172""","=""""","=""0.000007""","=""004001.000034""","=""L9172"""
"=""1s2.2s.5s""","=""1S""","=""0""",1,"=""""","=""8.594870""","=""""","=""0.000009""","=""004001.000035""","=""L9172"""
"=""1s2.2s.5p""","=""3P*""","=""0""",1,"=""[""","=""8.687002""","=""]""","=""0.000012""","=""004001.000036""","=""L9172"""
"=""1s2.2s.5p""","=""3P*""","=""1""",3,"=""[""","=""8.687002""","=""]""","=""0.000017""","=""004001.000037""","=""L9172"""
"=""1s2.2s.5p""","=""3P*""","=""2""",5,"=""[""","=""8.687002""","=""]""","=""0.000017""","=""004001.000038""","=""L9172"""
"=""1s2.2s.5p""","=""1P*""","=""1""",3,"=""""","=""8.693845""","=""""","=""0.000004""","=""004001.000039""","=""L9172"""
"=""1s2.2s.5d""","=""3D""","=""3""",7,"=""""","=""8.753747""","=""""","=""0.000007""","=""004001.000042""","=""L9172"""
"=""1s2.2s.5d""","=""3D""","=""1""",3,"=""""","=""8.753751""","=""""","=""0.000009""","=""004001.000040""","=""L9172"""
"=""1s2.2s.5d""","=""3D""","=""2""",5,"=""""","=""8.753751""","=""""","=""0.000007""","=""004001.000041""","=""L9172"""
"=""1s2.2s.5f""","=""3F*""","=""4""",9,"=""""","=""8.77184""","=""""","=""0.00014""","=""004001.000045""","=""L9172"""
"=""1s2.2s.5f""","=""3F*""","=""2""",5,"=""""","=""8.771850""","=""""","=""0.000007""","=""004001.000043""","=""L9172"""
"=""1s2.2s.5f""","=""3F*""","=""3""",7,"=""""","=""8.771850""","=""""","=""0.000007""","=""004001.000044""","=""L9172"""
"=""1s2.2s.5f""","=""1F*""","=""3""",7,"=""""","=""8.771885""","=""""","=""0.000005""","=""004001.000046""","=""L9172"""
"=""1s2.2s.5d""","=""1D""","=""2""",5,"=""""","=""8.803176""","=""""","=""0.000004""","=""004001.000047""","=""L9172"""
"=""1s2.2s.6s""","=""3S""","=""1""",3,"=""""","=""8.822779""","=""""","=""0.000007""","=""004001.000048""","=""L9172"""
"=""1s2.2s.6s""","=""1S""","=""0""",1,"=""""","=""8.842708""","=""""","=""0.000010""","=""004001.000049""","=""L9172"""
"=""1s2.2s.6p""","=""3P*""","=""0""",1,"=""""","=""8.893466""","=""""","=""0.000010""","=""004001.000050""","=""L9172"""
"=""1s2.2s.6p""","=""3P*""","=""1""",3,"=""""","=""8.893468""","=""""","=""0.000007""","=""004001.000051""","=""L9172"""
"=""1s2.2s.6p""","=""3P*""","=""2""",5,"=""""","=""8.893468""","=""""","=""0.000007""","=""004001.000052""","=""L9172"""
"=""1s2.2s.6p""","=""1P*""","=""1""",3,"=""""","=""8.895391""","=""""","=""0.000007""","=""004001.000053""","=""L9172"""
"=""1s2.2s.6d""","=""3D""","=""1""",3,"=""""","=""8.930519""","=""""","=""0.000010""","=""004001.000054""","=""L9172"""
"=""1s2.2s.6d""","=""3D""","=""2""",5,"=""""","=""8.930520""","=""""","=""0.000009""","=""004001.000055""","=""L9172"""
"=""1s2.2s.6d""","=""3D""","=""3""",7,"=""""","=""8.930521""","=""""","=""0.000009""","=""004001.000056""","=""L9172"""
"=""1s2.2s.6f""","=""3F*""","=""2""",5,"=""""","=""8.940695""","=""""","=""0.000007""","=""004001.000057""","=""L9172"""
"=""1s2.2s.6f""","=""3F*""","=""3""",7,"=""""","=""8.940695""","=""""","=""0.000007""","=""004001.000058""","=""L9172"""
"=""1s2.2s.6f""","=""3F*""","=""4""",9,"=""""","=""8.94070""","=""""","=""0.00012""","=""004001.000059""","=""L9172"""
"=""1s2.2s.6f""","=""1F*""","=""3""",7,"=""""","=""8.940718""","=""""","=""0.000006""","=""004001.000060""","=""L9172"""
"=""1s2.2s.6d""","=""1D""","=""2""",5,"=""""","=""8.958010""","=""""","=""0.000012""","=""004001.000061""","=""L9172"""
"=""1s2.2s.7s""","=""3S""","=""1""",3,"=""""","=""8.97084""","=""""","=""0.00019""","=""004001.000062""","=""L9172"""
"=""1s2.2s.7s""","=""1S""","=""0""",1,"=""""","=""8.982454""","=""""","=""0.000022""","=""004001.000063""","=""L9172"""
"=""1s2.2s.7p""","=""3P*""","=""0""",1,"=""""","=""9.013320""","=""""","=""0.000010""","=""004001.000064""","=""L9172"""
"=""1s2.2s.7p""","=""3P*""","=""1""",3,"=""""","=""9.013321""","=""""","=""0.000009""","=""004001.000065""","=""L9172"""
"=""1s2.2s.7p""","=""3P*""","=""2""",5,"=""""","=""9.013321""","=""""","=""0.000007""","=""004001.000066""","=""L9172"""
"=""1s2.2s.7p""","=""1P*""","=""1""",3,"=""[""","=""9.01387""","=""]""","=""0.00006""","=""004001.000067""","=""L9172"""
"=""1s2.2s.7d""","=""3D""","=""3""",7,"=""""","=""9.036082""","=""""","=""0.000015""","=""004001.000070""","=""L9172"""
"=""1s2.2s.7d""","=""3D""","=""2""",5,"=""""","=""9.036094""","=""""","=""0.000016""","=""004001.000069""","=""L9172"""
"=""1s2.2s.7d""","=""3D""","=""1""",3,"=""""","=""9.036096""","=""""","=""0.000020""","=""004001.000068""","=""L9172"""
"=""1s2.2s.7f""","=""3F*""","=""4""",9,"=""""","=""9.04237""","=""""","=""0.00010""","=""004001.000073""","=""L9172"""
"=""1s2.2s.7f""","=""3F*""","=""2""",5,"=""""","=""9.042367""","=""""","=""0.000009""","=""004001.000071""","=""L9172"""
"=""1s2.2s.7f""","=""3F*""","=""3""",7,"=""""","=""9.042368""","=""""","=""0.000007""","=""004001.000072""","=""L9172"""
"=""1s2.2s.7f""","=""1F*""","=""3""",7,"=""""","=""9.042387""","=""""","=""0.000007""","=""004001.000074""","=""L9172"""
