Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Lande,Leading percentages,Level ID,Reference
"=""2s2.2p""","=""2P*""","=""1/2""",2,"=""""","=""0.0000000000""","=""""","=""0.0000000000""","=""0.66576(6)""","=""  96         :     3  2p3                   2P*  ""","=""006002.000001""","=""L22145,L6720"""
"=""2s2.2p""","=""2P*""","=""3/2""",4,"=""""","=""0.007859989""","=""""","=""0.000000003""","=""1.33412(6)""","=""  96         :     3  2p3                   2P*  ""","=""006002.000002""","=""L22145,L6720"""
"=""2s.2p2""","=""4P""","=""1/2""",2,"=""""","=""5.33167""","=""""","=""0.00004""","=""(2.6704)""","=""  99                                             ""","=""006002.000003""","=""L22145,L15072"""
"=""2s.2p2""","=""4P""","=""3/2""",4,"=""""","=""5.33441""","=""""","=""0.00004""","=""(1.7349)""","=""  99                                             ""","=""006002.000004""","=""L22145,L15072"""
"=""2s.2p2""","=""4P""","=""5/2""",6,"=""""","=""5.33792""","=""""","=""0.00004""","=""(1.6013)""","=""  99                                             ""","=""006002.000005""","=""L22145,L15072"""
"=""2s.2p2""","=""2D""","=""5/2""",6,"=""""","=""9.2901455""","=""""","=""0.0000021""","=""(1.2004)""","=""  97                                             ""","=""006002.000006""","=""L22145,L15072"""
"=""2s.2p2""","=""2D""","=""3/2""",4,"=""""","=""9.290459""","=""""","=""0.000003""","=""(0.7995)""","=""  97                                             ""","=""006002.000007""","=""L22145,L15072"""
"=""2s.2p2""","=""2S""","=""1/2""",2,"=""""","=""11.963687""","=""""","=""0.000003""","=""(2.0022)""","=""  84         :    12  2s2.3s                2S   ""","=""006002.000008""","=""L22145,L15072"""
"=""2s.2p2""","=""2P""","=""1/2""",2,"=""""","=""13.715650""","=""""","=""0.000005""","=""(0.6659)""","=""  96         :     2  2p2.(3P).3s           2P   ""","=""006002.000009""","=""L22145,L15072"""
"=""2s.2p2""","=""2P""","=""3/2""",4,"=""""","=""13.720784""","=""""","=""0.000005""","=""(1.3340)""","=""  96         :     2  2p2.(3P).3s           2P   ""","=""006002.000010""","=""L22145,L15072"""
"=""2s2.3s""","=""2S""","=""1/2""",2,"=""""","=""14.4488269""","=""""","=""0.0000024""","=""(2.0023)""","=""  82         :    13  2s.2p2                2S   ""","=""006002.000011""","=""L22145,L15072"""
"=""2s2.3p""","=""2P*""","=""1/2""",2,"=""""","=""16.3317419""","=""""","=""0.0000024""","=""(0.6659)""","=""  93         :     5  2p2.(1S).3p           2P*  ""","=""006002.000012""","=""L22145,L15072"""
"=""2s2.3p""","=""2P*""","=""3/2""",4,"=""""","=""16.3331238""","=""""","=""0.0000024""","=""(1.3341)""","=""  93         :     5  2p2.(1S).3p           2P*  ""","=""006002.000013""","=""L22145,L15072"""
"=""2p3""","=""4S*""","=""3/2""",4,"=""""","=""17.60901""","=""""","=""0.00004""","=""(2.0022)""","="" 100                                             ""","=""006002.000014""","=""L22145,L15072"""
"=""2s2.3d""","=""2D""","=""3/2""",4,"=""""","=""18.045807""","=""""","=""0.000004""","=""(0.7995)""","=""  94         :     5  2p2.(1S).3d           2D   ""","=""006002.000015""","=""L22145,L15072"""
"=""2s2.3d""","=""2D""","=""5/2""",6,"=""""","=""18.045987""","=""""","=""0.000004""","=""(1.2004)""","=""  94         :     5  2p2.(1S).3d           2D   ""","=""006002.000016""","=""L22145,L15072"""
"=""2p3""","=""2D*""","=""5/2""",6,"=""""","=""18.654858""","=""""","=""0.000009""","=""(1.2004)""","=""  92         :     6  2s.2p.(3P*).3d        2D*  ""","=""006002.000017""","=""L22145,L15072"""
"=""2p3""","=""2D*""","=""3/2""",4,"=""""","=""18.655493""","=""""","=""0.000006""","=""(0.7995)""","=""  92         :     6  2s.2p.(3P*).3d        2D*  ""","=""006002.000018""","=""L22145,L15072"""
"=""2s2.4s""","=""2S""","=""1/2""",2,"=""""","=""19.494538""","=""""","=""0.000004""","=""(2.0023)""","=""  94         :     5  2p2.(1S).4s           2S   ""","=""006002.000019""","=""L22145,L15072"""
"=""2s2.4p""","=""2P*""","=""1/2""",2,"=""""","=""20.149652""","=""""","=""0.000005""","=""(0.6659)""","=""  90         :     5  2p2.(1S).4p           2P*  ""","=""006002.000020""","=""L22145,L15072"""
"=""2s2.4p""","=""2P*""","=""3/2""",4,"=""""","=""20.150477""","=""""","=""0.000004""","=""(1.3341)""","=""  90         :     5  2p2.(1S).4p           2P*  ""","=""006002.000021""","=""L22145,L15072"""
"=""2s.2p.(3P*).3s""","=""4P*""","=""1/2""",2,"=""""","=""20.701289""","=""""","=""0.000006""","=""(2.6704)""","=""  98                                             ""","=""006002.000022""","=""L22145,L15072"""
"=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""",4,"=""""","=""20.704213""","=""""","=""0.000006""","=""(1.7349)""","=""  98                                             ""","=""006002.000023""","=""L22145,L15072"""
