Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Lande,Leading percentages,Level ID,Reference
"=""2s2.2p2""","=""3P""","=""0""",1,"=""""","=""0.0000000000""","=""""","=""0.00000016""","=""""","=""  98                                                ""","=""006001.000001""","=""L20057"""
"=""2s2.2p2""","=""3P""","=""1""",3,"=""""","=""0.0020354130""","=""""","=""0.00000016""","=""1.5010623(50)""","=""  98                                                ""","=""006001.000006""","=""L20057,L3172"""
"=""2s2.2p2""","=""3P""","=""2""",5,"=""""","=""0.0053825826""","=""""","=""0.00000016""","=""1.5010469(50)""","=""  98                                                ""","=""006001.000007""","=""L20057,L3172"""
"=""2s2.2p2""","=""1D""","=""2""",5,"=""""","=""1.2637284""","=""""","=""0.0000004""","=""""","=""  98                                                ""","=""006001.000008""","=""L20057"""
"=""2s2.2p2""","=""1S""","=""0""",1,"=""""","=""2.6840136""","=""""","=""0.0000004""","=""""","=""  94         :     4  2p4                   1S      ""","=""006001.000009""","=""L20057"""
"=""2s.2p3""","=""5S*""","=""2""",5,"=""""","=""4.1826219""","=""""","=""0.0000022""","=""""","="" 100                                                ""","=""006001.000010""","=""L20057"""
"=""2s2.2p.3s""","=""3P*""","=""0""",1,"=""""","=""7.48039414""","=""""","=""0.00000006""","=""""","=""  96                                                ""","=""006001.000011""","=""L20057"""
"=""2s2.2p.3s""","=""3P*""","=""1""",3,"=""""","=""7.48277598""","=""""","=""0.00000004""","=""""","=""  96                                                ""","=""006001.000012""","=""L20057"""
"=""2s2.2p.3s""","=""3P*""","=""2""",5,"=""""","=""7.48779869""","=""""","=""0.00000005""","=""""","=""  96                                                ""","=""006001.000013""","=""L20057"""
"=""2s2.2p.3s""","=""1P*""","=""1""",3,"=""""","=""7.68476777""","=""""","=""0.00000005""","=""0.97""","=""  97                                                ""","=""006001.000014""","=""L20057,L292"""
"=""2s.2p3""","=""3D*""","=""3""",7,"=""""","=""7.945771557""","=""""","=""0.000000012""","=""""","=""  96                                                ""","=""006001.000015""","=""L20057"""
"=""2s.2p3""","=""3D*""","=""1""",3,"=""""","=""7.94613476""","=""""","=""0.00000007""","=""""","=""  96                                                ""","=""006001.000016""","=""L20057"""
