Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""2s2.2p4""","=""3P""","=""2""",5,"=""""","=""0.00000""","=""""","=""0""","=""009002.000001""","=""L3462"""
"=""2s2.2p4""","=""3P""","=""1""",3,"=""""","=""0.04228""","=""""","=""""","=""009002.000002""","="""""
"=""2s2.2p4""","=""3P""","=""0""",1,"=""""","=""0.06074""","=""""","=""""","=""009002.000003""","="""""
"=""2s2.2p4""","=""1D""","=""2""",5,"=""""","=""2.58797""","=""""","=""""","=""009002.000004""","="""""
"=""2s2.2p4""","=""1S""","=""0""",1,"=""""","=""5.56913""","=""""","=""""","=""009002.000005""","="""""
"=""2s.2p5""","=""3P*""","=""2""",5,"=""""","=""20.432333""","=""""","=""""","=""009002.000006""","="""""
"=""2s.2p5""","=""3P*""","=""1""",3,"=""""","=""20.470617""","=""""","=""""","=""009002.000007""","="""""
"=""2s.2p5""","=""3P*""","=""0""",1,"=""""","=""20.492008""","=""""","=""""","=""009002.000008""","="""""
"=""2s2.2p3.(4S*).3s""","=""5S*""","=""2""",5,"=""""","=""21.882458""","=""""","=""""","=""009002.000009""","="""""
"=""2s2.2p3.(4S*).3s""","=""3S*""","=""1""",3,"=""""","=""22.672296""","=""""","=""""","=""009002.000010""","="""""
"=""2s2.2p3.(4S*).3p""","=""5P""","=""1""",3,"=""""","=""25.100520""","=""""","=""""","=""009002.000011""","="""""
"=""2s2.2p3.(4S*).3p""","=""5P""","=""2""",5,"=""""","=""25.101926""","=""""","=""""","=""009002.000012""","="""""
"=""2s2.2p3.(4S*).3p""","=""5P""","=""3""",7,"=""""","=""25.104353""","=""""","=""""","=""009002.000013""","="""""
"=""2s2.2p3.(4S*).3p""","=""3P""","=""1""",3,"=""""","=""25.751403""","=""""","=""""","=""009002.000014""","="""""
"=""2s2.2p3.(4S*).3p""","=""3P""","=""0""",1,"=""""","=""25.751771""","=""""","=""""","=""009002.000015""","="""""
"=""2s2.2p3.(4S*).3p""","=""3P""","=""2""",5,"=""""","=""25.751988""","=""""","=""""","=""009002.000016""","="""""
"=""2s2.2p3.(2D*).3s""","=""3D*""","=""3""",7,"=""""","=""26.268052""","=""""","=""""","=""009002.000017""","="""""
"=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""",5,"=""""","=""26.270663""","=""""","=""""","=""009002.000018""","="""""
"=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""",3,"=""""","=""26.272284""","=""""","=""""","=""009002.000019""","="""""
"=""2s2.2p3.(2D*).3s""","=""1D*""","=""2""",5,"=""""","=""26.665231""","=""""","=""""","=""009002.000020""","="""""
"=""2s2.2p3.(2P*).3s""","=""1P*""","=""1""",3,"=""""","=""28.172734""","=""""","=""""","=""009002.000021""","="""""
"=""2s2.2p3.(2P*).3s""","=""3P*""","=""2""",5,"=""""","=""28.460586""","=""""","=""""","=""009002.000022""","="""""
"=""2s2.2p3.(2P*).3s""","=""3P*""","=""1""",3,"=""""","=""28.460795""","=""""","=""""","=""009002.000023""","="""""
