Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""2s2.2p5""","=""2P*""","=""3/2""",4,"=""""","=""0.0000000""","=""""","=""0""","=""009001.000001""","=""L3462"""
"=""2s2.2p5""","=""2P*""","=""1/2""",2,"=""""","=""0.05010710""","=""""","=""0.00000025""","=""009001.000002""","=""L5746"""
"=""2s2.2p4.(3P).3s""","=""4P""","=""5/2""",6,"=""""","=""12.696690""","=""""","=""""","=""009001.000003""","="""""
"=""2s2.2p4.(3P).3s""","=""4P""","=""3/2""",4,"=""""","=""12.730752""","=""""","=""""","=""009001.000004""","="""""
"=""2s2.2p4.(3P).3s""","=""4P""","=""1/2""",2,"=""""","=""12.750582""","=""""","=""""","=""009001.000005""","="""""
"=""2s2.2p4.(3P).3s""","=""2P""","=""3/2""",4,"=""""","=""12.984995""","=""""","=""""","=""009001.000006""","="""""
"=""2s2.2p4.(3P).3s""","=""2P""","=""1/2""",2,"=""""","=""13.025319""","=""""","=""""","=""009001.000007""","="""""
"=""2s2.2p4.(3P).3p""","=""4P*""","=""5/2""",6,"=""""","=""14.371989""","=""""","=""""","=""009001.000008""","="""""
"=""2s2.2p4.(3P).3p""","=""4P*""","=""3/2""",4,"=""""","=""14.387235""","=""""","=""""","=""009001.000009""","="""""
"=""2s2.2p4.(3P).3p""","=""4P*""","=""1/2""",2,"=""""","=""14.399969""","=""""","=""""","=""009001.000010""","="""""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""7/2""",8,"=""""","=""14.504588""","=""""","=""""","=""009001.000011""","="""""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""5/2""",6,"=""""","=""14.526486""","=""""","=""""","=""009001.000012""","="""""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""3/2""",4,"=""""","=""14.544408""","=""""","=""""","=""009001.000013""","="""""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""1/2""",2,"=""""","=""14.554747""","=""""","=""""","=""009001.000014""","="""""
"=""2s2.2p4.(3P).3p""","=""2D*""","=""5/2""",6,"=""""","=""14.583383""","=""""","=""""","=""009001.000015""","="""""
"=""2s2.2p4.(3P).3p""","=""2D*""","=""3/2""",4,"=""""","=""14.614380""","=""""","=""""","=""009001.000016""","="""""
"=""2s2.2p4.(3P).3p""","=""2S*""","=""1/2""",2,"=""""","=""14.680382""","=""""","=""""","=""009001.000017""","="""""
"=""2s2.2p4.(3P).3p""","=""4S*""","=""3/2""",4,"=""""","=""14.683178""","=""""","=""""","=""009001.000018""","="""""
"=""2s2.2p4.(3P).3p""","=""2P*""","=""3/2""",4,"=""""","=""14.746284""","=""""","=""""","=""009001.000019""","="""""
"=""2s2.2p4.(3P).3p""","=""2P*""","=""1/2""",2,"=""""","=""14.764264""","=""""","=""""","=""009001.000020""","="""""
"=""2s2.2p4.(1D).3s""","=""2D""","=""5/2""",6,"=""""","=""15.3641547""","=""""","=""""","=""009001.000021""","=""L484,L7481,L15138"""
