Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""1s2""","=""1S""","=""0""",1,"=""""","=""0.0000000""","=""""","=""0.0000012""","=""003002.000001""","=""L3501"""
"=""1s.2s""","=""3S""","=""1""",3,"=""[""","=""59.020708""","=""]""","=""0.000012""","=""003002.000002""","=""L3501c202"""
"=""1s.2s""","=""1S""","=""0""",1,"=""[""","=""60.922576""","=""]""","=""0.000019""","=""003002.000003""","=""L4834c203"""
"=""1s.2p""","=""3P*""","=""1""",3,"=""[""","=""61.280467""","=""]""","=""0.000012""","=""003002.000004""","=""L3501c202"""
"=""1s.2p""","=""3P*""","=""2""",5,"=""[""","=""61.280749""","=""]""","=""0.000012""","=""003002.000005""","=""L3501c202"""
"=""1s.2p""","=""3P*""","=""0""",1,"=""[""","=""61.281137""","=""]""","=""0.000012""","=""003002.000006""","=""L3501c202"""
"=""1s.2p""","=""1P*""","=""1""",3,"=""[""","=""62.216228""","=""]""","=""0.000012""","=""003002.000007""","=""L3501c202"""
"=""1s.3s""","=""3S""","=""1""",3,"=""[""","=""68.780678""","=""]""","=""0.000012""","=""003002.000008""","=""L3501c202"""
"=""1s.3s""","=""1S""","=""0""",1,"=""[""","=""69.279520""","=""]""","=""0.000012""","=""003002.000009""","=""L3501c202"""
"=""1s.3p""","=""3P*""","=""1""",3,"=""[""","=""69.36910""","=""]""","=""0.00019""","=""003002.000010""","=""L3501c202"""
"=""1s.3p""","=""3P*""","=""2""",5,"=""[""","=""69.36923""","=""]""","=""0.00010""","=""003002.000011""","=""L3501c202"""
"=""1s.3p""","=""3P*""","=""0""",1,"=""[""","=""69.36934""","=""]""","=""0.00004""","=""003002.000012""","=""L3501c202"""
"=""1s.3d""","=""3D""","=""2""",5,"=""[""","=""69.585174""","=""]""","=""0.000012""","=""003002.000013""","=""L3501c202"""
"=""1s.3d""","=""3D""","=""3""",7,"=""[""","=""69.585251""","=""]""","=""0.000012""","=""003002.000014""","=""L3501c202"""
"=""1s.3d""","=""3D""","=""1""",3,"=""[""","=""69.585317""","=""]""","=""0.000025""","=""003002.000015""","=""L3501c202"""
"=""1s.3d""","=""1D""","=""2""",5,"=""[""","=""69.588952""","=""]""","=""0.000012""","=""003002.000016""","=""L3501c202"""
"=""1s.3p""","=""1P*""","=""1""",3,"=""[""","=""69.648365""","=""]""","=""0.000019""","=""003002.000017""","=""L3501c202"""
"=""1s.4s""","=""3S""","=""1""",3,"=""[""","=""71.908412""","=""]""","=""0.000012""","=""003002.000018""","=""L3501c202"""
"=""1s.4s""","=""1S""","=""0""",1,"=""[""","=""72.108701""","=""]""","=""0.000019""","=""003002.000019""","=""L3501c202"""
"=""1s.4p""","=""3P*""","=""0""",1,"=""[""","=""72.144509""","=""]""","=""0.000012""","=""003002.000020""","=""L3501c202"""
"=""1s.4p""","=""3P*""","=""1""",3,"=""[""","=""72.144559""","=""]""","=""0.000012""","=""003002.000021""","=""L3501c202"""
"=""1s.4p""","=""3P*""","=""2""",5,"=""[""","=""72.144648""","=""]""","=""0.000012""","=""003002.000022""","=""L3501c202"""
"=""1s.4d""","=""3D""","=""1""",3,"=""[""","=""72.234700""","=""]""","=""0.000025""","=""003002.000023""","=""L3501c202"""
"=""1s.4d""","=""3D""","=""2""",5,"=""[""","=""72.234749""","=""]""","=""0.000012""","=""003002.000024""","=""L3501c202"""
"=""1s.4d""","=""3D""","=""3""",7,"=""[""","=""72.234831""","=""]""","=""0.000012""","=""003002.000025""","=""L3501c202"""
"=""1s.4d""","=""1D""","=""2""",5,"=""[""","=""72.236923""","=""]""","=""0.000019""","=""003002.000026""","=""L3501c202"""
"=""1s.4f""","=""3F*""","=""2""",5,"=""[""","=""72.238414""","=""]""","=""0.000012""","=""003002.000027""","=""L3501c202"""
"=""1s.4f""","=""3F*""","=""3""",7,"=""[""","=""72.238414""","=""]""","=""0.000012""","=""003002.000028""","=""L3501c202"""
"=""1s.4f""","=""3F*""","=""4""",9,"=""[""","=""72.238414""","=""]""","=""0.000012""","=""003002.000029""","=""L3501c202"""
"=""1s.4f""","=""1F*""","=""3""",7,"=""[""","=""72.238546""","=""]""","=""0.000012""","=""003002.000030""","=""L3501c202"""
"=""1s.4p""","=""1P*""","=""1""",3,"=""[""","=""72.26252""","=""]""","=""0.00015""","=""003002.000031""","=""L6124c204"""
"=""1s.5s""","=""3S""","=""1""",3,"=""[""","=""73.297399""","=""]""","=""0.000012""","=""003002.000032""","=""L3501c202"""
"=""1s.5s""","=""1S""","=""0""",1,"=""[""","=""73.397242""","=""]""","=""0.000019""","=""003002.000033""","=""L3501c202"""
"=""1s.5p""","=""3P*""","=""0""",1,"=""[""","=""73.415108""","=""]""","=""0.000012""","=""003002.000034""","=""L3501c202"""
"=""1s.5p""","=""3P*""","=""1""",3,"=""[""","=""73.415155""","=""]""","=""0.000012""","=""003002.000035""","=""L3501c202"""
"=""1s.5p""","=""3P*""","=""2""",5,"=""[""","=""73.415238""","=""]""","=""0.000012""","=""003002.000036""","=""L3501c202"""
"=""1s.5d""","=""3D""","=""1""",3,"=""[""","=""73.460988""","=""]""","=""0.000025""","=""003002.000037""","=""L3501c202"""
"=""1s.5d""","=""3D""","=""2""",5,"=""[""","=""73.461037""","=""]""","=""0.000012""","=""003002.000038""","=""L3501c202"""
"=""1s.5d""","=""3D""","=""3""",7,"=""[""","=""73.461119""","=""]""","=""0.000012""","=""003002.000039""","=""L3501c202"""
"=""1s.5d""","=""1D""","=""2""",5,"=""[""","=""73.462319""","=""]""","=""0.000019""","=""003002.000040""","=""L3501c202"""
"=""1s.5f""","=""3F*""","=""2""",5,"=""[""","=""73.463023""","=""]""","=""0.000012""","=""003002.000041""","=""L3501c202"""
"=""1s.5f""","=""3F*""","=""3""",7,"=""[""","=""73.463023""","=""]""","=""0.000012""","=""003002.000042""","=""L3501c202"""
"=""1s.5f""","=""3F*""","=""4""",9,"=""[""","=""73.463023""","=""]""","=""0.000012""","=""003002.000043""","=""L3501c202"""
"=""1s.5f""","=""1F*""","=""3""",7,"=""[""","=""73.463147""","=""]""","=""0.000012""","=""003002.000044""","=""L3501c202"""
"=""1s.5g""","=""1G""","=""4""",9,"=""[""","=""73.463317""","=""]""","=""0.000025""","=""003002.000138""","=""u46"""
"=""1s.5g""","=""3G""","=""3""",7,"=""[""","=""73.463317""","=""]""","=""0.000025""","=""003002.000139""","=""u46"""
"=""1s.5g""","=""3G""","=""4""",9,"=""[""","=""73.463317""","=""]""","=""0.000025""","=""003002.000140""","=""u46"""
"=""1s.5g""","=""3G""","=""5""",11,"=""[""","=""73.463317""","=""]""","=""0.000025""","=""003002.000141""","=""u46"""
"=""1s.5p""","=""1P*""","=""1""",3,"=""[""","=""73.4753""","=""]""","=""0.0003""","=""003002.000045""","=""L6124c204"""
"=""1s.6s""","=""3S""","=""1""",3,"=""[""","=""74.033578""","=""]""","=""0.000012""","=""003002.000046""","=""L3501c202"""
"=""1s.6s""","=""1S""","=""0""",1,"=""[""","=""74.090435""","=""]""","=""0.000019""","=""003002.000047""","=""L3501c202"""
"=""1s.6p""","=""3P*""","=""0""",1,"=""[""","=""74.100580""","=""]""","=""0.000012""","=""003002.000048""","=""L3501c202"""
"=""1s.6p""","=""3P*""","=""1""",3,"=""[""","=""74.100627""","=""]""","=""0.000012""","=""003002.000049""","=""L3501c202"""
"=""1s.6p""","=""3P*""","=""2""",5,"=""[""","=""74.100710""","=""]""","=""0.000012""","=""003002.000050""","=""L3501c202"""
"=""1s.6d""","=""3D""","=""1""",3,"=""[""","=""74.127013""","=""]""","=""0.000025""","=""003002.000052""","=""L3501c202"""
"=""1s.6d""","=""3D""","=""2""",5,"=""[""","=""74.127061""","=""]""","=""0.000012""","=""003002.000053""","=""L3501c202"""
"=""1s.6d""","=""3D""","=""3""",7,"=""[""","=""74.127143""","=""]""","=""0.000012""","=""003002.000054""","=""L3501c202"""
"=""1s.6d""","=""1D""","=""2""",5,"=""[""","=""74.127877""","=""]""","=""0.000019""","=""003002.000055""","=""L3501c202"""
"=""1s.6f""","=""3F*""","=""2""",5,"=""[""","=""74.128238""","=""]""","=""0.000012""","=""003002.000056""","=""L3501c202"""
"=""1s.6f""","=""3F*""","=""3""",7,"=""[""","=""74.128238""","=""]""","=""0.000012""","=""003002.000057""","=""L3501c202"""
"=""1s.6f""","=""3F*""","=""4""",9,"=""[""","=""74.128238""","=""]""","=""0.000012""","=""003002.000058""","=""L3501c202"""
"=""1s.6f""","=""1F*""","=""3""",7,"=""[""","=""74.128368""","=""]""","=""0.000012""","=""003002.000059""","=""L3501c202"""
"=""1s.6g""","=""1G""","=""4""",9,"=""[""","=""74.128445""","=""]""","=""0.000025""","=""003002.000142""","=""u46"""
"=""1s.6g""","=""3G""","=""3""",7,"=""[""","=""74.128445""","=""]""","=""0.000025""","=""003002.000143""","=""u46"""
"=""1s.6g""","=""3G""","=""4""",9,"=""[""","=""74.128445""","=""]""","=""0.000025""","=""003002.000144""","=""u46"""
"=""1s.6g""","=""3G""","=""5""",11,"=""[""","=""74.128445""","=""]""","=""0.000025""","=""003002.000145""","=""u46"""
"=""1s.6h""","=""1H*""","=""5""",11,"=""[""","=""74.128465""","=""]""","=""0.000025""","=""003002.000158""","=""u46"""
"=""1s.6h""","=""3H*""","=""4""",9,"=""[""","=""74.128465""","=""]""","=""0.000025""","=""003002.000159""","=""u46"""
"=""1s.6h""","=""3H*""","=""5""",11,"=""[""","=""74.128465""","=""]""","=""0.000025""","=""003002.000160""","=""u46"""
"=""1s.6h""","=""3H*""","=""6""",13,"=""[""","=""74.128465""","=""]""","=""0.000025""","=""003002.000161""","=""u46"""
"=""1s.6p""","=""1P*""","=""1""",3,"=""[""","=""74.1347""","=""]""","=""0.0006""","=""003002.000051""","=""L6124c204"""
"=""1s.7s""","=""3S""","=""1""",3,"=""[""","=""74.470245""","=""]""","=""0.000012""","=""003002.000060""","=""L3501c202"""
"=""1s.7s""","=""1S""","=""0""",1,"=""[""","=""74.50579""","=""]""","=""0.00025""","=""003002.000061""","=""L3501c202"""
"=""1s.7p""","=""3P*""","=""0""",1,"=""[""","=""74.511979""","=""]""","=""0.000012""","=""003002.000110""","=""u45"""
"=""1s.7p""","=""3P*""","=""1""",3,"=""[""","=""74.512007""","=""]""","=""0.000012""","=""003002.000111""","=""u45"""
"=""1s.7p""","=""3P*""","=""2""",5,"=""[""","=""74.512060""","=""]""","=""0.000012""","=""003002.000112""","=""u45"""
"=""1s.7d""","=""3D""","=""1""",3,"=""[""","=""74.528537""","=""]""","=""0.000025""","=""003002.000063""","=""L3501c202"""
"=""1s.7d""","=""3D""","=""2""",5,"=""[""","=""74.528585""","=""]""","=""0.000012""","=""003002.000064""","=""L3501c202"""
"=""1s.7d""","=""3D""","=""3""",7,"=""[""","=""74.528667""","=""]""","=""0.000012""","=""003002.000065""","=""L3501c202"""
"=""1s.7d""","=""1D""","=""2""",5,"=""[""","=""74.529152""","=""]""","=""0.000019""","=""003002.000066""","=""L3501c202"""
"=""1s.7f""","=""3F*""","=""2""",5,"=""[""","=""74.529324""","=""]""","=""0.000025""","=""003002.000067""","=""L3501c202"""
"=""1s.7f""","=""3F*""","=""3""",7,"=""[""","=""74.529324""","=""]""","=""0.000025""","=""003002.000068""","=""L3501c202"""
"=""1s.7f""","=""3F*""","=""4""",9,"=""[""","=""74.529324""","=""]""","=""0.000025""","=""003002.000069""","=""L3501c202"""
"=""1s.7f""","=""1F*""","=""3""",7,"=""[""","=""74.529466""","=""]""","=""0.000012""","=""003002.000070""","=""L3501c202"""
"=""1s.7g""","=""1G""","=""4""",9,"=""[""","=""74.529497""","=""]""","=""0.000025""","=""003002.000146""","=""u46"""
"=""1s.7g""","=""3G""","=""3""",7,"=""[""","=""74.529497""","=""]""","=""0.000025""","=""003002.000147""","=""u46"""
"=""1s.7g""","=""3G""","=""4""",9,"=""[""","=""74.529497""","=""]""","=""0.000025""","=""003002.000148""","=""u46"""
"=""1s.7g""","=""3G""","=""5""",11,"=""[""","=""74.529497""","=""]""","=""0.000025""","=""003002.000149""","=""u46"""
"=""1s.7h""","=""1H*""","=""5""",11,"=""[""","=""74.529510""","=""]""","=""0.000025""","=""003002.000162""","=""u46"""
"=""1s.7h""","=""3H*""","=""4""",9,"=""[""","=""74.529510""","=""]""","=""0.000025""","=""003002.000163""","=""u46"""
"=""1s.7h""","=""3H*""","=""5""",11,"=""[""","=""74.529510""","=""]""","=""0.000025""","=""003002.000164""","=""u46"""
