Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""2s2.2p2""","=""3P""","=""0""",1,"=""""","=""0.00000""","=""""","=""0""","=""007002.000001""","=""L7288"""
"=""2s2.2p2""","=""3P""","=""1""",3,"=""""","=""0.00604""","=""""","=""""","=""007002.000016""","="""""
"=""2s2.2p2""","=""3P""","=""2""",5,"=""""","=""0.01622""","=""""","=""""","=""007002.000017""","="""""
"=""2s2.2p2""","=""1D""","=""2""",5,"=""""","=""1.89897""","=""""","=""""","=""007002.000018""","="""""
"=""2s2.2p2""","=""1S""","=""0""",1,"=""""","=""4.05289""","=""""","=""""","=""007002.000019""","="""""
"=""2s.2p3""","=""5S*""","=""2""",5,"=""""","=""5.80055""","=""""","=""""","=""007002.000020""","="""""
"=""2s.2p3""","=""3D*""","=""3""",7,"=""""","=""11.43596""","=""""","=""""","=""007002.000021""","="""""
"=""2s.2p3""","=""3D*""","=""2""",5,"=""""","=""11.43758""","=""""","=""""","=""007002.000022""","="""""
"=""2s.2p3""","=""3D*""","=""1""",3,"=""""","=""11.43777""","=""""","=""""","=""007002.000023""","="""""
"=""2s.2p3""","=""3P*""","=""1""",3,"=""""","=""13.54113""","=""""","=""""","=""007002.000024""","="""""
"=""2s.2p3""","=""3P*""","=""2""",5,"=""""","=""13.54126""","=""""","=""""","=""007002.000025""","="""""
"=""2s.2p3""","=""3P*""","=""0""",1,"=""""","=""13.54199""","=""""","=""""","=""007002.000026""","="""""
"=""2s.2p3""","=""1D*""","=""2""",5,"=""""","=""17.877026""","=""""","=""""","=""007002.000027""","="""""
"=""2s2.2p.3s""","=""3P*""","=""0""",1,"=""""","=""18.462312""","=""""","=""""","=""007002.000028""","="""""
"=""2s2.2p.3s""","=""3P*""","=""1""",3,"=""""","=""18.466228""","=""""","=""""","=""007002.000029""","="""""
"=""2s2.2p.3s""","=""3P*""","=""2""",5,"=""""","=""18.483133""","=""""","=""""","=""007002.000030""","="""""
"=""2s2.2p.3s""","=""1P*""","=""1""",3,"=""""","=""18.496930""","=""""","=""""","=""007002.000031""","="""""
"=""2s.2p3""","=""3S*""","=""1""",3,"=""""","=""19.233263""","=""""","=""""","=""007002.000032""","="""""
"=""2s2.2p.3p""","=""1P""","=""1""",3,"=""""","=""20.409133""","=""""","=""""","=""007002.000033""","="""""
"=""2s2.2p.3p""","=""3D""","=""1""",3,"=""""","=""20.646058""","=""""","=""""","=""007002.000034""","="""""
"=""2s2.2p.3p""","=""3D""","=""2""",5,"=""""","=""20.653592""","=""""","=""""","=""007002.000035""","="""""
"=""2s2.2p.3p""","=""3D""","=""3""",7,"=""""","=""20.665518""","=""""","=""""","=""007002.000036""","="""""
"=""2s.2p3""","=""1P*""","=""1""",3,"=""""","=""20.676307""","=""""","=""""","=""007002.000037""","="""""
