Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""2s2.2p3""","=""4S*""","=""3/2""",4,"=""""","=""0.0000000""","=""""","=""0""","=""007001.000001""","=""L7288"""
"=""2s2.2p3""","=""2D*""","=""5/2""",6,"=""""","=""2.3835298""","=""""","=""""","=""007001.000014""","="""""
"=""2s2.2p3""","=""2D*""","=""3/2""",4,"=""""","=""2.3846100""","=""""","=""""","=""007001.000015""","="""""
"=""2s2.2p3""","=""2P*""","=""1/2""",2,"=""""","=""3.5755704""","=""""","=""""","=""007001.000016""","="""""
"=""2s2.2p3""","=""2P*""","=""3/2""",4,"=""""","=""3.5756182""","=""""","=""""","=""007001.000017""","="""""
"=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""",2,"=""""","=""10.3259087""","=""""","=""""","=""007001.000018""","="""""
"=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""",4,"=""""","=""10.3300944""","=""""","=""""","=""007001.000019""","="""""
"=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""",6,"=""""","=""10.3358956""","=""""","=""""","=""007001.000020""","="""""
"=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""",2,"=""""","=""10.6796703""","=""""","=""""","=""007001.000021""","="""""
"=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""",4,"=""""","=""10.6899808""","=""""","=""""","=""007001.000022""","="""""
"=""2s.2p4""","=""4P""","=""5/2""",6,"=""""","=""10.9239080""","=""""","=""""","=""007001.000023""","="""""
"=""2s.2p4""","=""4P""","=""3/2""",4,"=""""","=""10.9293522""","=""""","=""""","=""007001.000024""","="""""
"=""2s.2p4""","=""4P""","=""1/2""",2,"=""""","=""10.9317574""","=""""","=""""","=""007001.000025""","="""""
"=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""",2,"=""""","=""11.6026335""","=""""","=""""","=""007001.000026""","="""""
"=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""",2,"=""""","=""11.7500916""","=""""","=""""","=""007001.000027""","="""""
"=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""",4,"=""""","=""11.7528949""","=""""","=""""","=""007001.000028""","="""""
"=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""",6,"=""""","=""11.7575319""","=""""","=""""","=""007001.000029""","="""""
"=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""",8,"=""""","=""11.7638464""","=""""","=""""","=""007001.000030""","="""""
"=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""",2,"=""""","=""11.8374298""","=""""","=""""","=""007001.000031""","="""""
"=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""",4,"=""""","=""11.8397086""","=""""","=""""","=""007001.000032""","="""""
"=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""",6,"=""""","=""11.8444770""","=""""","=""""","=""007001.000033""","="""""
"=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""",4,"=""""","=""11.9955753""","=""""","=""""","=""007001.000034""","="""""
"=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""",4,"=""""","=""12.0001429""","=""""","=""""","=""007001.000035""","="""""
"=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""",6,"=""""","=""12.0096116""","=""""","=""""","=""007001.000036""","="""""
"=""2s2.2p2.(3P).3p""","=""2P*""","=""1/2""",2,"=""""","=""12.1219574""","=""""","=""""","=""007001.000037""","="""""
"=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""",4,"=""""","=""12.1263787""","=""""","=""""","=""007001.000038""","="""""
"=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""",6,"=""""","=""12.3566901""","=""""","=""""","=""007001.000039""","="""""
"=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""",4,"=""""","=""12.3567502""","=""""","=""""","=""007001.000040""","="""""
"=""2s2.2p2.(3P).4s""","=""4P""","=""1/2""",2,"=""""","=""12.847554""","=""""","=""""","=""007001.000041""","="""""
"=""2s2.2p2.(3P).4s""","=""4P""","=""3/2""",4,"=""""","=""12.853090""","=""""","=""""","=""007001.000042""","="""""
"=""2s2.2p2.(3P).4s""","=""4P""","=""5/2""",6,"=""""","=""12.861560""","=""""","=""""","=""007001.000043""","="""""
"=""2s2.2p2.(3P).4s""","=""2P""","=""1/2""",2,"=""""","=""12.9123120""","=""""","=""""","=""007001.000044""","="""""
"=""2s2.2p2.(3P).4s""","=""2P""","=""3/2""",4,"=""""","=""12.9218353""","=""""","=""""","=""007001.000045""","="""""
"=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""",4,"=""""","=""12.9706652""","=""""","=""""","=""007001.000046""","="""""
"=""2s2.2p2.(3P).3d""","=""2P""","=""1/2""",2,"=""""","=""12.9754460""","=""""","=""""","=""007001.000047""","="""""
"=""2s2.2p2.(3P).3d""","=""4F""","=""3/2""",4,"=""""","=""12.9766983""","=""""","=""""","=""007001.000048""","="""""
"=""2s2.2p2.(3P).3d""","=""4F""","=""5/2""",6,"=""""","=""12.9790453""","=""""","=""""","=""007001.000049""","="""""
"=""2s2.2p2.(3P).3d""","=""4F""","=""7/2""",8,"=""""","=""12.9832471""","=""""","=""""","=""007001.000050""","="""""
"=""2s2.2p2.(3P).3d""","=""4F""","=""9/2""",10,"=""""","=""12.989300""","=""""","=""""","=""007001.000051""","="""""
"=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""",6,"=""""","=""12.9948285""","=""""","=""""","=""007001.000052""","="""""
"=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""",8,"=""""","=""13.0036301""","=""""","=""""","=""007001.000055""","="""""
"=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""",6,"=""""","=""12.9966572""","=""""","=""""","=""007001.000053""","="""""
"=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""",4,"=""""","=""13.000950""","=""""","=""""","=""007001.000054""","="""""
"=""2s2.2p2.(3P).3d""","=""4P""","=""1/2""",2,"=""""","=""13.004219""","=""""","=""""","=""007001.000056""","="""""
"=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""",2,"=""""","=""13.016403""","=""""","=""""","=""007001.000057""","="""""
"=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""",4,"=""""","=""13.017878""","=""""","=""""","=""007001.000058""","="""""
"=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""",6,"=""""","=""13.019401""","=""""","=""""","=""007001.000059""","="""""
"=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""",8,"=""""","=""13.0205230""","=""""","=""""","=""007001.000060""","="""""
