Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Level ID,Reference
"=""2s2.2p5""","=""2P*""","=""3/2""",4,"=""""","=""0.00000000""","=""""","=""0""","="" 100                                                              ""","=""010002.000001""","=""L9088"""
"=""2s2.2p5""","=""2P*""","=""1/2""",2,"=""""","=""0.09676024""","=""""","=""0.00000025""","="" 100                                                              ""","=""010002.000002""","=""L9088"""
"=""2s.2p6""","=""2S""","=""1/2""",2,"=""""","=""26.910472""","=""""","=""0.000011""","=""  98                                                              ""","=""010002.000003""","=""L9088"""
"=""2s2.2p4.(3P).3s""","=""4P""","=""5/2""",6,"=""""","=""27.16875174""","=""""","=""0.00000014""","="" 100                                                              ""","=""010002.000004""","=""L9088"""
"=""2s2.2p4.(3P).3s""","=""4P""","=""3/2""",4,"=""""","=""27.2329339""","=""""","=""0.0000006""","="" 100                                                              ""","=""010002.000005""","=""L9088"""
"=""2s2.2p4.(3P).3s""","=""4P""","=""1/2""",2,"=""""","=""27.27000770""","=""""","=""0.00000014""","="" 100                                                              ""","=""010002.000006""","=""L9088"""
"=""2s2.2p4.(3P).3s""","=""2P""","=""3/2""",4,"=""""","=""27.78324821""","=""""","=""0.00000016""","="" 100                                                              ""","=""010002.000007""","=""L9088"""
"=""2s2.2p4.(3P).3s""","=""2P""","=""1/2""",2,"=""""","=""27.85915908""","=""""","=""0.00000017""","="" 100                                                              ""","=""010002.000008""","=""L9088"""
"=""2s2.2p4.(3P).3p""","=""4P*""","=""5/2""",6,"=""""","=""30.52396899""","=""""","=""0.00000017""","=""  99                                                              ""","=""010002.000009""","=""L9088"""
"=""2s2.2p4.(3P).3p""","=""4P*""","=""3/2""",4,"=""""","=""30.55156804""","=""""","=""0.00000014""","=""  99                                                              ""","=""010002.000012""","=""L9088"""
"=""2s2.2p4.(3P).3p""","=""4P*""","=""1/2""",2,"=""""","=""30.57421575""","=""""","=""0.00000015""","="" 100                                                              ""","=""010002.000013""","=""L9088"""
"=""2s2.2p4.(1D).3s""","=""2D""","=""5/2""",6,"=""""","=""30.54897749""","=""""","=""0.00000019""","="" 100                                                              ""","=""010002.000010""","=""L9088"""
