Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""2s2.2p6""","=""1S""","=""0""",1,"=""""","=""0.0000000""","=""""","=""0.000005""","=""010001.000001""","=""L8826"""
"=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""",5,"=""""","=""16.61907009""","=""""","=""0.00000012""","=""010001.000002""","=""L8826c189"""
"=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""",3,"=""""","=""16.67082693""","=""""","=""0.00000012""","=""010001.000003""","=""L8826c189"""
"=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""0""",1,"=""""","=""16.71538108""","=""""","=""0.00000012""","=""010001.000004""","=""L8826c189"""
"=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""",3,"=""""","=""16.84805369""","=""""","=""0.00000012""","=""010001.000005""","=""L8826c189"""
"=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""",3,"=""""","=""18.38162323""","=""""","=""0.00000012""","=""010001.000006""","=""L8826c189"""
"=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""0""",1,"=""""","=""18.71137667""","=""""","=""0.00000012""","=""010001.000013""","=""L8826c189"""
"=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""",7,"=""""","=""18.55510805""","=""""","=""0.00000012""","=""010001.000007""","=""L8826"""
"=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""",5,"=""""","=""18.57583601""","=""""","=""0.00000012""","=""010001.000008""","=""L8826c189"""
"=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""",3,"=""""","=""18.61270528""","=""""","=""0.00000012""","=""010001.000009""","=""L8826c189"""
"=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""",5,"=""""","=""18.63679156""","=""""","=""0.00000012""","=""010001.000010""","=""L8826c189"""
"=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""",3,"=""""","=""18.69335943""","=""""","=""0.00000012""","=""010001.000011""","=""L8826c189"""
"=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""",5,"=""""","=""18.70407118""","=""""","=""0.00000012""","=""010001.000012""","=""L8826c189"""
"=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""",3,"=""""","=""18.72638145""","=""""","=""0.00000012""","=""010001.000014""","=""L8826c189"""
"=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""0""",1,"=""""","=""18.96595369""","=""""","=""0.00000012""","=""010001.000015""","=""L8826c189"""
"=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""",5,"=""""","=""19.66403214""","=""""","=""0.00000012""","=""010001.000016""","=""L8826c189"""
"=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""",3,"=""""","=""19.68819383""","=""""","=""0.00000012""","=""010001.000017""","=""L8826c189"""
"=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""",1,"=""""","=""19.76060074""","=""""","=""0.00000012""","=""010001.000018""","=""L8826c189"""
"=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""",3,"=""""","=""19.77977193""","=""""","=""0.00000012""","=""010001.000019""","=""L8826c189"""
"=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""0""",1,"=""""","=""20.02464208""","=""""","=""0.00000012""","=""010001.000020""","=""L8826c189"""
"=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""",3,"=""""","=""20.02644523""","=""""","=""0.00000012""","=""010001.000021""","=""L8826c189"""
"=""2s2.2p5.(2P*<3/2>).3d""","=""2[7/2]*""","=""4""",9,"=""""","=""20.03464893""","=""""","=""0.00000012""","=""010001.000022""","=""L8826"""
"=""2s2.2p5.(2P*<3/2>).3d""","=""2[7/2]*""","=""3""",7,"=""""","=""20.03486947""","=""""","=""0.00000012""","=""010001.000023""","=""L8826c189"""
"=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",5,"=""""","=""20.03674670""","=""""","=""0.00000012""","=""010001.000024""","=""L8826c189"""
