Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""2s2.2p3""","=""4S*""","=""3/2""",4,"=""""","=""0.000000""","=""""","=""0""","=""008002.000001""","=""L11267"""
"=""2s2.2p3""","=""2D*""","=""5/2""",6,"=""""","=""3.324085""","=""""","=""""","=""008002.000009""","="""""
"=""2s2.2p3""","=""2D*""","=""3/2""",4,"=""""","=""3.326567""","=""""","=""""","=""008002.000010""","="""""
"=""2s2.2p3""","=""2P*""","=""3/2""",4,"=""""","=""5.017394""","=""""","=""""","=""008002.000011""","="""""
"=""2s2.2p3""","=""2P*""","=""1/2""",2,"=""""","=""5.017641""","=""""","=""""","=""008002.000012""","="""""
"=""2s.2p4""","=""4P""","=""5/2""",6,"=""""","=""14.857920""","=""""","=""""","=""008002.000013""","="""""
"=""2s.2p4""","=""4P""","=""3/2""",4,"=""""","=""14.878157""","=""""","=""""","=""008002.000014""","="""""
"=""2s.2p4""","=""4P""","=""1/2""",2,"=""""","=""14.888377""","=""""","=""""","=""008002.000015""","="""""
"=""2s.2p4""","=""2D""","=""5/2""",6,"=""""","=""20.579946""","=""""","=""""","=""008002.000016""","="""""
"=""2s.2p4""","=""2D""","=""3/2""",4,"=""""","=""20.580943""","=""""","=""""","=""008002.000017""","="""""
"=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""",2,"=""""","=""22.9662478""","=""""","=""""","=""008002.000018""","="""""
"=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""",4,"=""""","=""22.9793029""","=""""","=""""","=""008002.000019""","="""""
"=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""",6,"=""""","=""22.9989602""","=""""","=""""","=""008002.000020""","="""""
"=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""",2,"=""""","=""23.4191946""","=""""","=""""","=""008002.000021""","="""""
"=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""",4,"=""""","=""23.4415082""","=""""","=""""","=""008002.000022""","="""""
"=""2s.2p4""","=""2S""","=""1/2""",2,"=""""","=""24.265006""","=""""","=""""","=""008002.000023""","="""""
"=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""",2,"=""""","=""25.2856211""","=""""","=""""","=""008002.000024""","="""""
"=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""",2,"=""""","=""25.6313478""","=""""","=""""","=""008002.000025""","="""""
"=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""",4,"=""""","=""25.6382319""","=""""","=""""","=""008002.000026""","="""""
"=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""",6,"=""""","=""25.6495863""","=""""","=""""","=""008002.000027""","="""""
"=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""",8,"=""""","=""25.6650368""","=""""","=""""","=""008002.000030""","="""""
"=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""",6,"=""""","=""25.661218""","=""""","=""""","=""008002.000028""","="""""
"=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""",4,"=""""","=""25.661347""","=""""","=""""","=""008002.000029""","="""""
"=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""",2,"=""""","=""25.8316247""","=""""","=""""","=""008002.000031""","="""""
"=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""",4,"=""""","=""25.8373471""","=""""","=""""","=""008002.000032""","="""""
"=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""",6,"=""""","=""25.8487467""","=""""","=""""","=""008002.000033""","="""""
"=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""",4,"=""""","=""26.2254001""","=""""","=""""","=""008002.000034""","="""""
"=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""",6,"=""""","=""26.2490334""","=""""","=""""","=""008002.000035""","="""""
"=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""",4,"=""""","=""26.3047208""","=""""","=""""","=""008002.000036""","="""""
"=""2s.2p4""","=""2P""","=""3/2""",4,"=""""","=""26.358274""","=""""","=""""","=""008002.000037""","="""""
"=""2s.2p4""","=""2P""","=""1/2""",2,"=""""","=""26.379157""","=""""","=""""","=""008002.000038""","="""""
"=""2s2.2p2.(3P).3p""","=""2P*""","=""1/2""",2,"=""""","=""26.5536859""","=""""","=""""","=""008002.000039""","="""""
"=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""",4,"=""""","=""26.5610940""","=""""","=""""","=""008002.000040""","="""""
"=""2s2.2p2.(1D).3p""","=""2F*""","=""5/2""",6,"=""""","=""28.358142""","=""""","=""""","=""008002.000041""","="""""
"=""2s2.2p2.(1D).3p""","=""2F*""","=""7/2""",8,"=""""","=""28.361069""","=""""","=""""","=""008002.000042""","="""""
"=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""",6,"=""""","=""28.509803""","=""""","=""""","=""008002.000043""","="""""
"=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""",4,"=""""","=""28.512453""","=""""","=""""","=""008002.000044""","="""""
"=""2s2.2p2.(1S).3s""","=""2S""","=""1/2""",2,"=""""","=""28.591928""","=""""","=""""","=""008002.000045""","="""""
"=""2s2.2p2.(3P).3d""","=""4F""","=""3/2""",4,"=""""","=""28.6770648""","=""""","=""""","=""008002.000046""","="""""
"=""2s2.2p2.(3P).3d""","=""4F""","=""5/2""",6,"=""""","=""28.6837551""","=""""","=""""","=""008002.000047""","="""""
"=""2s2.2p2.(3P).3d""","=""4F""","=""7/2""",8,"=""""","=""28.6934114""","=""""","=""""","=""008002.000048""","="""""
"=""2s2.2p2.(3P).3d""","=""4F""","=""9/2""",10,"=""""","=""28.7060920""","=""""","=""""","=""008002.000049""","="""""
"=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""",6,"=""""","=""28.8217045""","=""""","=""""","=""008002.000050""","="""""
"=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""",4,"=""""","=""28.8307832""","=""""","=""""","=""008002.000053""","="""""
"=""2s2.2p2.(3P).3d""","=""4P""","=""1/2""",2,"=""""","=""28.8390335""","=""""","=""""","=""008002.000054""","="""""
"=""2s2.2p2.(1D).3p""","=""2P*""","=""1/2""",2,"=""""","=""28.823901""","=""""","=""""","=""008002.000051""","="""""
"=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""",4,"=""""","=""28.829685""","=""""","=""""","=""008002.000052""","="""""
"=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""",2,"=""""","=""28.8525664""","=""""","=""""","=""008002.000055""","="""""
"=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""",4,"=""""","=""28.8568239""","=""""","=""""","=""008002.000056""","="""""
"=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""",6,"=""""","=""28.8570199""","=""""","=""""","=""008002.000057""","="""""
"=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""",8,"=""""","=""28.8577953""","=""""","=""""","=""008002.000058""","="""""
"=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""",6,"=""""","=""28.8630624""","=""""","=""""","=""008002.000059""","="""""
"=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""",8,"=""""","=""28.8832609""","=""""","=""""","=""008002.000060""","="""""
