Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""2s2.2p4""","=""3P""","=""2""",5,"=""""","=""0.0000000""","=""""","=""0""","=""008001.000001""","=""L7288"""
"=""2s2.2p4""","=""3P""","=""1""",3,"=""""","=""0.0196224""","=""""","=""""","=""008001.000035""","="""""
"=""2s2.2p4""","=""3P""","=""0""",1,"=""""","=""0.0281416""","=""""","=""""","=""008001.000036""","="""""
"=""2s2.2p4""","=""1D""","=""2""",5,"=""""","=""1.9673642""","=""""","=""""","=""008001.000037""","="""""
"=""2s2.2p4""","=""1S""","=""0""",1,"=""""","=""4.1897463""","=""""","=""""","=""008001.000038""","="""""
"=""2s2.2p3.(4S*).3s""","=""5S*""","=""2""",5,"=""""","=""9.1460911""","=""""","=""""","=""008001.000039""","="""""
"=""2s2.2p3.(4S*).3s""","=""3S*""","=""1""",3,"=""""","=""9.5213638""","=""""","=""""","=""008001.000040""","="""""
"=""2s2.2p3.(4S*).3p""","=""5P""","=""1""",3,"=""""","=""10.7402250""","=""""","=""""","=""008001.000041""","="""""
"=""2s2.2p3.(4S*).3p""","=""5P""","=""2""",5,"=""""","=""10.7404756""","=""""","=""""","=""008001.000042""","="""""
"=""2s2.2p3.(4S*).3p""","=""5P""","=""3""",7,"=""""","=""10.7409314""","=""""","=""""","=""008001.000043""","="""""
"=""2s2.2p3.(4S*).3p""","=""3P""","=""1""",3,"=""""","=""10.9887923""","=""""","=""""","=""008001.000044""","="""""
"=""2s2.2p3.(4S*).3p""","=""3P""","=""2""",5,"=""""","=""10.9888616""","=""""","=""""","=""008001.000045""","="""""
"=""2s2.2p3.(4S*).3p""","=""3P""","=""0""",1,"=""""","=""10.9888811""","=""""","=""""","=""008001.000046""","="""""
"=""2s2.2p3.(4S*).4s""","=""5S*""","=""2""",5,"=""""","=""11.8376056""","=""""","=""""","=""008001.000047""","="""""
"=""2s2.2p3.(4S*).4s""","=""3S*""","=""1""",3,"=""""","=""11.9303856""","=""""","=""""","=""008001.000048""","="""""
"=""2s2.2p3.(4S*).3d""","=""5D*""","=""4""",9,"=""""","=""12.0786187""","=""""","=""""","=""008001.000049""","="""""
"=""2s2.2p3.(4S*).3d""","=""5D*""","=""3""",7,"=""""","=""12.0786294""","=""""","=""""","=""008001.000050""","="""""
"=""2s2.2p3.(4S*).3d""","=""5D*""","=""2""",5,"=""""","=""12.0786446""","=""""","=""""","=""008001.000051""","="""""
"=""2s2.2p3.(4S*).3d""","=""5D*""","=""1""",3,"=""""","=""12.0786574""","=""""","=""""","=""008001.000052""","="""""
"=""2s2.2p3.(4S*).3d""","=""5D*""","=""0""",1,"=""""","=""12.0786635""","=""""","=""""","=""008001.000053""","="""""
