id_linea,elemento,espectro,estado_ionizacion,longitud_onda_nm,longitud_onda_vacio_nm,longitud_onda_origen,medio,longitud_onda_obs_nm,longitud_onda_ritz_nm,ritz_es_limite,incertidumbre_obs_nm,incertidumbre_ritz_nm,region_espectral,aki_s1,log10_aki,tiene_aki,fuerza_oscilador_fik,log_gf,exactitud,tipo_transicion,intensidad_valor,intensidad_bandera,energia_inferior_cm1,energia_superior_cm1,energia_inferior_interpolada,energia_superior_interpolada,energia_inferior_origen_desconocido,energia_superior_origen_desconocido,energia_foton_ev,configuracion_inferior,termino_inferior,j_inferior,j_inferior_texto,j_inferior_resuelto,g_inferior,configuracion_superior,termino_superior,j_superior,j_superior_texto,j_superior_resuelto,g_superior,id_nivel_inferior,id_nivel_superior,ref_probabilidad,ref_longitud_onda,medicion_repetida
1,C,C II,2,4.2767,4.2767,observada,vacio,4.2767,4.2766,False,0.0004,0.0004,Rayos X,90000000000.0,10.954242509439325,True,0.023,-1.33,D+,E1,,a*,0.0,2338290.0,False,False,False,False,289.91101136692004,2s2.2p,2P*,0.5,1/2,True,2,1s.2s2.2p2,2S,0.5,1/2,True,2,006002.000001,006002.000359,T9848LS,L20274,False
2,C,C II,2,4.2767,4.2767,observada,vacio,4.2767,4.2767,False,0.0004,0.0004,Rayos X,170000000000.0,11.230448921378274,True,0.023,-1.03,D+,E1,,a*,63.39509,2338290.0,False,False,False,False,289.90315137750144,2s2.2p,2P*,1.5,3/2,True,4,1s.2s2.2p2,2S,0.5,1/2,True,2,006002.000002,006002.000359,T9848LS,L20274,False
3,C,C II,2,4.2836,4.2836,observada,vacio,4.2836,4.2836,False,0.0004,0.0004,Rayos X,60000000000.0,10.778151250383644,True,0.023,-1.0,E,E1,,a*,43024.9,2377500.0,False,False,False,False,289.43802404829677,2s.2p2,4P,1.5,3/2,True,4,1s.2s.(3S). 2p3.(2P*),4P*,2.5,5/2,True,6,006002.000004,006002.000367,T9848LS,L20274,False
4,C,C II,2,4.2836,4.2836,observada,vacio,4.2836,4.2836,False,0.0004,0.0004,Rayos X,25000000000.0,10.397940008672037,True,0.007,-1.6,E,E1,,a*,43024.9,2377500.0,False,False,False,False,289.43802404829677,2s.2p2,4P,1.5,3/2,True,4,1s.2s.(3S). 2p3.(2P*),4P*,1.5,3/2,True,4,006002.000004,006002.000366,T9848LS,L20274,False
5,C,C II,2,4.2836,4.2836,observada,vacio,4.2836,4.2836,False,0.0004,0.0004,Rayos X,150000000000.0,11.176091259055681,True,0.021,-1.1,E,E1,,a*,43024.9,2377500.0,False,False,False,False,289.43802404829677,2s.2p2,4P,1.5,3/2,True,4,1s.2s.(3S). 2p3.(2P*),4P*,0.5,1/2,True,2,006002.000004,006002.000365,T9848LS,L20274,False
6,C,C II,2,4.2836,4.2836,observada,vacio,4.2836,4.2836,False,0.0004,0.0004,Rayos X,80000000000.0,10.903089986991944,True,0.04,-1.1,E,E1,,a*,43002.8,2377500.0,False,False,False,False,289.44076409908223,2s.2p2,4P,0.5,1/2,True,2,1s.2s.(3S). 2p3.(2P*),4P*,1.5,3/2,True,4,006002.000003,006002.000366,T9848LS,L20274,False
7,C,C II,2,4.2836,4.2836,observada,vacio,4.2836,4.2836,False,0.0004,0.0004,Rayos X,31000000000.0,10.491361693834273,True,0.009,-1.8,E,E1,,a*,43002.8,2377500.0,False,False,False,False,289.44076409908223,2s.2p2,4P,0.5,1/2,True,2,1s.2s.(3S). 2p3.(2P*),4P*,0.5,1/2,True,2,006002.000003,006002.000365,T9848LS,L20274,False
8,C,C II,2,4.2836,4.2836,observada,vacio,4.2836,4.2837,False,0.0004,0.0004,Rayos X,130000000000.0,11.113943352306837,True,0.036,-0.7,E,E1,,a*,43053.2,2377500.0,False,False,False,False,289.4345152954809,2s.2p2,4P,2.5,5/2,True,6,1s.2s.(3S). 2p3.(2P*),4P*,2.5,5/2,True,6,006002.000005,006002.000367,T9848LS,L20274,False
9,C,C II,2,4.2836,4.2836,observada,vacio,4.2836,4.2837,False,0.0004,0.0004,Rayos X,80000000000.0,10.903089986991944,True,0.015,-1.0,E,E1,,a*,43053.2,2377500.0,False,False,False,False,289.4345152954809,2s.2p2,4P,2.5,5/2,True,6,1s.2s.(3S). 2p3.(2P*),4P*,1.5,3/2,True,4,006002.000005,006002.000366,T9848LS,L20274,False
10,C,C II,2,4.2988,4.2988,observada,vacio,4.2988,4.2987,False,0.0005,0.0004,Rayos X,140000000000.0,11.146128035678238,True,0.076,-0.82,D+,E1,,a*,0.0,2326280.0,False,False,False,False,288.42196114367283,2s2.2p,2P*,0.5,1/2,True,2,1s.2s2.2p2,2P,1.5,3/2,True,4,006002.000001,006002.000358,T9848LS,L20274,False
