id_nivel,elemento,estado_ionizacion,espectro,configuracion,termino,j_valor,j_texto,j_resuelto,g,energia_ev,energia_interpolada,incertidumbre_ev,referencia
001001.001.000001,H,1,H I,1s,2S,0.5,1/2,True,2.0,0.0,False,1.2e-13,
001001.001.000002,H,1,H I,2p,2P*,0.5,1/2,True,2.0,10.19880615024,False,4e-11,L15291
001001.001.000004,H,1,H I,2p,2P*,1.5,3/2,True,4.0,10.19885151459,False,5e-11,L15291
001001.001.000003,H,1,H I,2s,2S,0.5,1/2,True,2.0,10.19881052514816,False,1.2e-13,L15291
001001.001.000059,H,1,H I,2,,,,,8.0,10.1988358,False,1.2e-06,L15291
001001.001.000005,H,1,H I,3p,2P*,0.5,1/2,True,2.0,12.0874936591,False,9e-10,L15291
001001.001.000008,H,1,H I,3p,2P*,1.5,3/2,True,4.0,12.0875071004,False,9e-10,L15291
001001.001.000006,H,1,H I,3s,2S,0.5,1/2,True,2.0,12.0874949611,False,9e-10,L15291
001001.001.000060,H,1,H I,3,,,,,18.0,12.0875052,False,6e-07,L15291
001001.001.000007,H,1,H I,3d,2D,1.5,3/2,True,4.0,12.0875070783,False,2.5e-09,L15291
001001.001.000009,H,1,H I,3d,2D,2.5,5/2,True,6.0,12.0875115582,False,9e-10,L15291
001001.001.000010,H,1,H I,4p,2P*,0.5,1/2,True,2.0,12.74853244632,False,6e-11,L15291
001001.001.000013,H,1,H I,4p,2P*,1.5,3/2,True,4.0,12.74853811674,False,4e-11,L15291
001001.001.000011,H,1,H I,4s,2S,0.5,1/2,True,2.0,12.74853299663,False,4e-11,L15291
001001.001.000012,H,1,H I,4d,2D,1.5,3/2,True,4.0,12.7485381084,False,1e-09,L15291
001001.001.000015,H,1,H I,4d,2D,2.5,5/2,True,6.0,12.74853999753,False,1e-10,L15291
001001.001.000061,H,1,H I,4,,,,,32.0,12.7485393,False,4e-07,L15291
001001.001.000014,H,1,H I,4f,2F*,2.5,5/2,True,6.0,12.748539998,False,6e-09,L15291
001001.001.000016,H,1,H I,4f,2F*,3.5,7/2,True,8.0,12.7485409403,False,1.6e-09,L15291
001001.001.000017,H,1,H I,5p,2P*,0.5,1/2,True,2.0,13.054498182,False,5e-09,L15291
001001.001.000020,H,1,H I,5p,2P*,1.5,3/2,True,4.0,13.054501086,False,5e-09,L15291
001001.001.000018,H,1,H I,5s,2S,0.5,1/2,True,2.0,13.054498464,True,5e-09,L15291
001001.001.000019,H,1,H I,5d,2D,1.5,3/2,True,4.0,13.054501074,False,3e-09,L15291
001001.001.000021,H,1,H I,5d,2D,2.5,5/2,True,6.0,13.054502042,True,3e-09,L15291
001001.001.000062,H,1,H I,5,,,,,50.0,13.0545017,False,5e-07,L15291
001001.001.000098,H,1,H I,5f,2F*,2.5,5/2,True,6.0,13.054502046336,False,1e-11,L15291
001001.001.000022,H,1,H I,5f,2F*,3.5,7/2,True,8.0,13.054502526,False,6e-09,L15291
001001.001.000099,H,1,H I,5g,2G,3.5,7/2,True,8.0,13.054502529303,False,1e-11,L15291
001001.001.000100,H,1,H I,5g,2G,4.5,9/2,True,10.0,13.054502819633,False,1e-11,L15291
001001.001.000023,H,1,H I,6p,2P*,0.5,1/2,True,2.0,13.22070146198,True,1.2e-10,L15291
