id_linea,id_espectro,id_nivel_inferior,id_nivel_superior,codigo_tipo_transicion,codigo_exactitud,longitud_onda_nm,longitud_onda_origen,medio,longitud_onda_obs_nm,longitud_onda_ritz_nm,ritz_es_limite,incertidumbre_obs_nm,incertidumbre_ritz_nm,aki_s1,fuerza_oscilador_fik,log_gf,intensidad_valor,intensidad_bandera,energia_inferior_cm1,energia_superior_cm1,energia_inferior_interpolada,energia_superior_interpolada,energia_inferior_origen_desconocido,energia_superior_origen_desconocido,medicion_repetida
1,10,006002.000001,006002.000359,E1,D+,4.2767,observada,vacio,4.2767,4.2766,False,0.0004,0.0004,90000000000.0,0.023,-1.33,,a*,0.0,2338290.0,False,False,False,False,False
2,10,006002.000002,006002.000359,E1,D+,4.2767,observada,vacio,4.2767,4.2767,False,0.0004,0.0004,170000000000.0,0.023,-1.03,,a*,63.39509,2338290.0,False,False,False,False,False
3,10,006002.000004,006002.000367,E1,E,4.2836,observada,vacio,4.2836,4.2836,False,0.0004,0.0004,60000000000.0,0.023,-1.0,,a*,43024.9,2377500.0,False,False,False,False,False
4,10,006002.000004,006002.000366,E1,E,4.2836,observada,vacio,4.2836,4.2836,False,0.0004,0.0004,25000000000.0,0.007,-1.6,,a*,43024.9,2377500.0,False,False,False,False,False
5,10,006002.000004,006002.000365,E1,E,4.2836,observada,vacio,4.2836,4.2836,False,0.0004,0.0004,150000000000.0,0.021,-1.1,,a*,43024.9,2377500.0,False,False,False,False,False
6,10,006002.000003,006002.000366,E1,E,4.2836,observada,vacio,4.2836,4.2836,False,0.0004,0.0004,80000000000.0,0.04,-1.1,,a*,43002.8,2377500.0,False,False,False,False,False
7,10,006002.000003,006002.000365,E1,E,4.2836,observada,vacio,4.2836,4.2836,False,0.0004,0.0004,31000000000.0,0.009,-1.8,,a*,43002.8,2377500.0,False,False,False,False,False
8,10,006002.000005,006002.000367,E1,E,4.2836,observada,vacio,4.2836,4.2837,False,0.0004,0.0004,130000000000.0,0.036,-0.7,,a*,43053.2,2377500.0,False,False,False,False,False
9,10,006002.000005,006002.000366,E1,E,4.2836,observada,vacio,4.2836,4.2837,False,0.0004,0.0004,80000000000.0,0.015,-1.0,,a*,43053.2,2377500.0,False,False,False,False,False
10,10,006002.000001,006002.000358,E1,D+,4.2988,observada,vacio,4.2988,4.2987,False,0.0005,0.0004,140000000000.0,0.076,-0.82,,a*,0.0,2326280.0,False,False,False,False,False
11,10,006002.000002,006002.000358,E1,D+,4.2988,observada,vacio,4.2988,4.2988,False,0.0005,0.0004,680000000000.0,0.19,-0.12,,a*,63.39509,2326280.0,False,False,False,False,False
12,10,006002.000001,006002.000357,E1,D+,4.2988,observada,vacio,4.2988,4.2989,False,0.0005,0.0004,550000000000.0,0.15,-0.52,,a*,0.0,2326190.0,False,False,False,False,False
13,10,006002.000002,006002.000357,E1,D+,4.2988,observada,vacio,4.2988,4.299,False,0.0005,0.0004,270000000000.0,0.038,-0.82,,a*,63.39509,2326190.0,False,False,False,False,False
14,10,006002.000001,006002.000355,E1,D+,4.306,observada,vacio,4.306,4.306,False,0.0004,0.0004,250000000000.0,0.14,-0.56,,a*,0.0,2322360.0,False,False,False,False,False
15,10,006002.000002,006002.000356,E1,D+,4.306,observada,vacio,4.306,4.3061,False,0.0004,0.0004,300000000000.0,0.12,-0.31,,a*,63.39509,2322360.0,False,False,False,False,False
16,10,006002.000002,006002.000355,E1,D+,4.306,observada,vacio,4.306,4.3061,False,0.0004,0.0004,49000000000.0,0.014,-1.26,,a*,63.39509,2322360.0,False,False,False,False,False
17,10,006002.000003,006002.000362,E1,E,4.315,observada,vacio,4.315,4.3149,False,0.0004,0.0004,110000000000.0,0.06,-0.9,,a*,43002.8,2360540.0,False,False,False,False,False
18,10,006002.000003,006002.000361,E1,E,4.315,observada,vacio,4.315,4.3149,False,0.0004,0.0004,210000000000.0,0.06,-0.9,,a*,43002.8,2360540.0,False,False,False,False,False
19,10,006002.000005,006002.000364,E1,E,4.315,observada,vacio,4.315,4.315,False,0.0004,0.0004,250000000000.0,0.09,-0.2,,a*,43053.2,2360540.0,False,False,False,False,False
20,10,006002.000005,006002.000363,E1,E,4.315,observada,vacio,4.315,4.315,False,0.0004,0.0004,80000000000.0,0.021,-0.9,,a*,43053.2,2360540.0,False,False,False,False,False
21,10,006002.000005,006002.000362,E1,E,4.315,observada,vacio,4.315,4.315,False,0.0004,0.0004,13000000000.0,0.0024,-1.8,,a*,43053.2,2360540.0,False,False,False,False,False
22,10,006002.000004,006002.000363,E1,E,4.315,observada,vacio,4.315,4.315,False,0.0004,0.0004,180000000000.0,0.07,-0.5,,a*,43024.9,2360540.0,False,False,False,False,False
23,10,006002.000004,006002.000362,E1,E,4.315,observada,vacio,4.315,4.315,False,0.0004,0.0004,140000000000.0,0.038,-0.8,,a*,43024.9,2360540.0,False,False,False,False,False
24,10,006002.000004,006002.000361,E1,E,4.315,observada,vacio,4.315,4.315,False,0.0004,0.0004,42000000000.0,0.006,-1.6,,a*,43024.9,2360540.0,False,False,False,False,False
25,10,006002.000003,006002.000360,E1,E,4.3169,observada,vacio,4.3169,4.3168,False,0.0004,0.0004,230000000000.0,0.13,-0.6,,a*,43002.8,2359520.0,False,False,False,False,False
26,10,006002.000005,006002.000360,E1,E,4.3169,observada,vacio,4.3169,4.3169,False,0.0004,0.0004,700000000000.0,0.13,-0.1,,a*,43053.2,2359520.0,False,False,False,False,False
27,10,006002.000004,006002.000360,E1,E,4.3169,observada,vacio,4.3169,4.3169,False,0.0004,0.0004,500000000000.0,0.13,-0.3,,a*,43024.9,2359520.0,False,False,False,False,False
28,8,005002.000001,005002.000156,E1,,5.738,observada,vacio,5.738,5.738,False,0.003,0.003,,,,3.0,a,0.0,1742870.0,False,False,False,False,False
29,8,005002.000001,005002.000155,E1,,5.759,observada,vacio,5.759,5.759,False,0.003,0.003,,,,7.0,a,0.0,1736400.0,False,False,False,False,False
30,8,005002.000001,005002.000154,E1,,5.801,observada,vacio,5.801,5.801,False,0.003,0.003,,,,10.0,a,0.0,1723840.0,False,False,False,False,False
31,8,005002.000001,005002.000153,E1,,5.901,observada,vacio,5.901,5.901,False,0.003,0.003,,,,30.0,a,0.0,1694630.0,False,False,False,False,False
32,7,005001.000002,005001.000112,E1,,6.152,observada,vacio,6.152,6.152,False,0.003,0.003,,,,10.0,a*,15.287,1625500.0,False,False,False,False,False
33,7,005001.000001,005001.000112,E1,,6.152,observada,vacio,6.152,6.152,False,0.003,0.003,,,,10.0,a*,0.0,1625500.0,False,False,False,False,False
34,7,005001.000002,005001.000111,E1,,6.195,observada,vacio,6.195,6.195,False,0.003,0.003,,,,40.0,a*,15.287,1614200.0,False,False,False,False,False
35,7,005001.000001,005001.000111,E1,,6.195,observada,vacio,6.195,6.195,False,0.003,0.003,,,,40.0,a*,0.0,1614200.0,False,False,False,False,False
36,7,005001.000002,005001.000110,E1,,6.213,observada,vacio,6.213,6.213,False,0.003,0.003,,,,30.0,a*,15.287,1609500.0,False,False,False,False,False
37,7,005001.000001,005001.000110,E1,,6.213,observada,vacio,6.213,6.213,False,0.003,0.003,,,,30.0,a*,0.0,1609500.0,False,False,False,False,False
38,7,005001.000002,005001.000109,E1,,6.234,observada,vacio,6.234,6.234,False,0.003,0.003,,,,10.0,a*,15.287,1604100.0,False,False,False,False,False
39,7,005001.000001,005001.000109,E1,,6.234,observada,vacio,6.234,6.234,False,0.003,0.003,,,,10.0,a*,0.0,1604100.0,False,False,False,False,False
