id_linea,codigo_referencia,rol
1,T9848LS,probabilidad
2,T9848LS,probabilidad
3,T9848LS,probabilidad
4,T9848LS,probabilidad
5,T9848LS,probabilidad
6,T9848LS,probabilidad
7,T9848LS,probabilidad
8,T9848LS,probabilidad
9,T9848LS,probabilidad
10,T9848LS,probabilidad
11,T9848LS,probabilidad
12,T9848LS,probabilidad
13,T9848LS,probabilidad
14,T9848LS,probabilidad
15,T9848LS,probabilidad
16,T9848LS,probabilidad
17,T9848LS,probabilidad
18,T9848LS,probabilidad
19,T9848LS,probabilidad
20,T9848LS,probabilidad
21,T9848LS,probabilidad
22,T9848LS,probabilidad
23,T9848LS,probabilidad
24,T9848LS,probabilidad
25,T9848LS,probabilidad
26,T9848LS,probabilidad
27,T9848LS,probabilidad
194,T8636c73,probabilidad
195,T8636c73,probabilidad
196,T7378,probabilidad
197,T5612,probabilidad
198,T8636c73,probabilidad
199,T7378,probabilidad
200,T5612,probabilidad
201,T8636c73,probabilidad
202,T7378,probabilidad
203,T5612,probabilidad
204,T8636c73,probabilidad
205,T7378,probabilidad
206,T5612,probabilidad
207,T8636c73,probabilidad
208,T1494,probabilidad
210,T1896,probabilidad
377,T2317LS,probabilidad
380,T2317LS,probabilidad
381,T2317LS,probabilidad
382,T2317LS,probabilidad
383,T2317LS,probabilidad
384,T2317LS,probabilidad
385,T2317LS,probabilidad
388,T2317LS,probabilidad
389,T2317LS,probabilidad
398,T2317LS,probabilidad
399,T2317LS,probabilidad
400,T2317LS,probabilidad
401,T2317LS,probabilidad
426,T2317LS,probabilidad
427,T2317LS,probabilidad
428,T2317LS,probabilidad
431,T2317LS,probabilidad
432,T2317LS,probabilidad
433,T2317LS,probabilidad
451,T5723LS,probabilidad
452,T5723LS,probabilidad
453,T5723LS,probabilidad
454,T5723LS,probabilidad
455,T5723LS,probabilidad
456,T5723LS,probabilidad
463,T5723LS,probabilidad
464,T5723LS,probabilidad
465,T5723LS,probabilidad
466,T5723LS,probabilidad
469,T5723LS,probabilidad
470,T5723LS,probabilidad
471,T5723LS,probabilidad
472,T5723LS,probabilidad
473,T5723LS,probabilidad
474,T5723LS,probabilidad
475,T5723LS,probabilidad
492,T2317LS,probabilidad
493,T2317LS,probabilidad
494,T2317LS,probabilidad
495,T2317LS,probabilidad
499,T2317LS,probabilidad
500,T2317LS,probabilidad
501,T2317LS,probabilidad
502,T2317LS,probabilidad
503,T2317LS,probabilidad
504,T2317LS,probabilidad
505,T2317LS,probabilidad
511,T2317LS,probabilidad
512,T2317LS,probabilidad
513,T2317LS,probabilidad
516,T5723LS,probabilidad
517,T2317LS,probabilidad
518,T2317LS,probabilidad
519,T2317LS,probabilidad
520,T2317LS,probabilidad
522,T5723LS,probabilidad
523,T5723LS,probabilidad
528,T2317LS,probabilidad
529,T2317LS,probabilidad
530,T2317LS,probabilidad
531,T5723LS,probabilidad
534,T5723LS,probabilidad
535,T5723LS,probabilidad
538,T2317LS,probabilidad
539,T2317LS,probabilidad
540,T2317LS,probabilidad
541,T2317LS,probabilidad
542,T2317LS,probabilidad
543,T2317LS,probabilidad
544,T6172,probabilidad
545,T5723LS,probabilidad
546,T5723LS,probabilidad
547,T5723LS,probabilidad
549,T2317LS,probabilidad
550,T2317LS,probabilidad
551,T2317LS,probabilidad
552,T6172,probabilidad
553,T6172,probabilidad
554,T6172,probabilidad
555,T6172,probabilidad
556,T6172,probabilidad
557,T6172n,probabilidad
558,T6172n,probabilidad
559,T2317LS,probabilidad
560,T2317LS,probabilidad
561,T2317LS,probabilidad
562,T2317LS,probabilidad
563,T5723LS,probabilidad
564,T5723LS,probabilidad
565,T6172n,probabilidad
566,T5723LS,probabilidad
567,T5723LS,probabilidad
569,T5723LS,probabilidad
570,T5723LS,probabilidad
572,T5723LS,probabilidad
575,T2317LS,probabilidad
576,T2317LS,probabilidad
577,T5723LS,probabilidad
578,T5723LS,probabilidad
579,T5723LS,probabilidad
580,T5723LS,probabilidad
581,T2317LS,probabilidad
582,T2317LS,probabilidad
583,T2317LS,probabilidad
584,T5520LS,probabilidad
585,T5520LS,probabilidad
586,T5520LS,probabilidad
587,T5723LS,probabilidad
588,T5520LS,probabilidad
589,T5520LS,probabilidad
590,T5520LS,probabilidad
591,T5723LS,probabilidad
592,T5723LS,probabilidad
593,T5723LS,probabilidad
594,T5723LS,probabilidad
595,T5723LS,probabilidad
596,T5109LS,probabilidad
597,T5109LS,probabilidad
598,T5109LS,probabilidad
599,T5109LS,probabilidad
600,T5723LS,probabilidad
601,T5723LS,probabilidad
602,T5723LS,probabilidad
607,T10528,probabilidad
608,T10528,probabilidad
609,T10528,probabilidad
610,T10528,probabilidad
611,T10528,probabilidad
612,T10528,probabilidad
613,T10528,probabilidad
614,T5723LS,probabilidad
615,T5723LS,probabilidad
616,T5723LS,probabilidad
617,T5723LS,probabilidad
621,T10528,probabilidad
622,T10528,probabilidad
623,T10528,probabilidad
624,T10528,probabilidad
625,T10528,probabilidad
626,T10528,probabilidad
627,T10528,probabilidad
628,T10528,probabilidad
629,T5723LS,probabilidad
630,T5723LS,probabilidad
631,T5723LS,probabilidad
640,T5723LS,probabilidad
641,T5723LS,probabilidad
642,T5723LS,probabilidad
644,T2317LS,probabilidad
645,T2317LS,probabilidad
646,T5723LS,probabilidad
647,T5723LS,probabilidad
648,T5723LS,probabilidad
649,T5723LS,probabilidad
650,c46,probabilidad
652,T2317LS,probabilidad
653,T2317LS,probabilidad
654,T2317LS,probabilidad
655,c46,probabilidad
656,T5723LS,probabilidad
657,T5723LS,probabilidad
658,T5723LS,probabilidad
659,T5723LS,probabilidad
660,T5723LS,probabilidad
661,T5723LS,probabilidad
662,T5723LS,probabilidad
663,T5723LS,probabilidad
664,T5723LS,probabilidad
665,T5109LS,probabilidad
666,T5109LS,probabilidad
667,T5109LS,probabilidad
668,T5109LS,probabilidad
669,T5723LS,probabilidad
670,T5723LS,probabilidad
671,T5723LS,probabilidad
672,T5723LS,probabilidad
673,T5723LS,probabilidad
674,T5723LS,probabilidad
675,T5723LS,probabilidad
676,T5723LS,probabilidad
677,T5723LS,probabilidad
678,T5723LS,probabilidad
686,T5520LS,probabilidad
687,T5520LS,probabilidad
691,T5520LS,probabilidad
692,T5520LS,probabilidad
693,T5520LS,probabilidad
694,T5520LS,probabilidad
695,T5520LS,probabilidad
696,T5520LS,probabilidad
697,T5520LS,probabilidad
698,T5520LS,probabilidad
699,T5520LS,probabilidad
700,T5520LS,probabilidad
710,T6172n,probabilidad
711,T6172n,probabilidad
712,T6172n,probabilidad
713,T6172n,probabilidad
714,T6172n,probabilidad
715,T6172n,probabilidad
719,T6172n,probabilidad
721,T6172n,probabilidad
722,T6172n,probabilidad
723,T6172n,probabilidad
724,T6172,probabilidad
725,T6172,probabilidad
726,T6172,probabilidad
727,T6172,probabilidad
729,T6172,probabilidad
730,T5520,probabilidad
731,T6172,probabilidad
732,T6172,probabilidad
733,T6172,probabilidad
734,T5520,probabilidad
736,T6172,probabilidad
737,T6172,probabilidad
762,T5723LS,probabilidad
763,T5723LS,probabilidad
764,T5723LS,probabilidad
765,T5723LS,probabilidad
784,T5520LS,probabilidad
785,T5520LS,probabilidad
786,T5520LS,probabilidad
789,T8636c73,probabilidad
