id_nivel,id_espectro,configuracion,termino,j_valor,j_texto,j_resuelto,g,energia_ev,energia_interpolada,incertidumbre_ev
001001.001.000001,1,1s,2S,0.5,1/2,True,2,0.0,False,1.2e-13
001001.001.000002,1,2p,2P*,0.5,1/2,True,2,10.19880615024,False,4e-11
001001.001.000004,1,2p,2P*,1.5,3/2,True,4,10.19885151459,False,5e-11
001001.001.000003,1,2s,2S,0.5,1/2,True,2,10.19881052514816,False,1.2e-13
001001.001.000059,1,2,,,,,8,10.1988358,False,1.2e-06
001001.001.000005,1,3p,2P*,0.5,1/2,True,2,12.0874936591,False,9e-10
001001.001.000008,1,3p,2P*,1.5,3/2,True,4,12.0875071004,False,9e-10
001001.001.000006,1,3s,2S,0.5,1/2,True,2,12.0874949611,False,9e-10
001001.001.000060,1,3,,,,,18,12.0875052,False,6e-07
001001.001.000007,1,3d,2D,1.5,3/2,True,4,12.0875070783,False,2.5e-09
001001.001.000009,1,3d,2D,2.5,5/2,True,6,12.0875115582,False,9e-10
001001.001.000010,1,4p,2P*,0.5,1/2,True,2,12.74853244632,False,6e-11
001001.001.000013,1,4p,2P*,1.5,3/2,True,4,12.74853811674,False,4e-11
001001.001.000011,1,4s,2S,0.5,1/2,True,2,12.74853299663,False,4e-11
001001.001.000012,1,4d,2D,1.5,3/2,True,4,12.7485381084,False,1e-09
001001.001.000015,1,4d,2D,2.5,5/2,True,6,12.74853999753,False,1e-10
001001.001.000061,1,4,,,,,32,12.7485393,False,4e-07
001001.001.000014,1,4f,2F*,2.5,5/2,True,6,12.748539998,False,6e-09
001001.001.000016,1,4f,2F*,3.5,7/2,True,8,12.7485409403,False,1.6e-09
001001.001.000017,1,5p,2P*,0.5,1/2,True,2,13.054498182,False,5e-09
001001.001.000020,1,5p,2P*,1.5,3/2,True,4,13.054501086,False,5e-09
001001.001.000018,1,5s,2S,0.5,1/2,True,2,13.054498464,True,5e-09
001001.001.000019,1,5d,2D,1.5,3/2,True,4,13.054501074,False,3e-09
001001.001.000021,1,5d,2D,2.5,5/2,True,6,13.054502042,True,3e-09
001001.001.000062,1,5,,,,,50,13.0545017,False,5e-07
001001.001.000098,1,5f,2F*,2.5,5/2,True,6,13.054502046336,False,1e-11
001001.001.000022,1,5f,2F*,3.5,7/2,True,8,13.054502526,False,6e-09
001001.001.000099,1,5g,2G,3.5,7/2,True,8,13.054502529303,False,1e-11
001001.001.000100,1,5g,2G,4.5,9/2,True,10,13.054502819633,False,1e-11
001001.001.000023,1,6p,2P*,0.5,1/2,True,2,13.22070146198,True,1.2e-10
001001.001.000026,1,6p,2P*,1.5,3/2,True,4,13.22070314214,True,1.2e-10
001001.001.000024,1,6s,2S,0.5,1/2,True,2,13.22070162532,False,9e-11
001001.001.000025,1,6d,2D,1.5,3/2,True,4,13.22070313941,True,1.6e-10
001001.001.000027,1,6d,2D,2.5,5/2,True,6,13.22070369934,False,5e-11
001001.001.000101,1,6f,2F*,2.5,5/2,True,6,13.220703699081,False,1e-11
001001.001.000102,1,6f,2F*,3.5,7/2,True,8,13.220703979103,False,1e-11
001001.001.000063,1,6,,,,,72,13.22070389,False,2e-07
001001.001.000103,1,6g,2G,3.5,7/2,True,8,13.220703978574,False,1e-11
001001.001.000104,1,6g,2G,4.5,9/2,True,10,13.220704146589,False,1e-11
001001.001.000105,1,6h,2H*,4.5,9/2,True,10,13.220704146258,False,1e-11
001001.001.000106,1,6h,2H*,5.5,11/2,True,12,13.220704258272,False,1e-11
001001.001.000028,1,7p,2P*,0.5,1/2,True,2,13.320916647,True,5e-09
001001.001.000031,1,7p,2P*,1.5,3/2,True,4,13.320917704,True,5e-09
001001.001.000029,1,7s,2S,0.5,1/2,True,2,13.32091675,True,5e-09
001001.001.000030,1,7d,2D,1.5,3/2,True,4,13.320917703,True,3e-09
