id_nivel,codigo_referencia
001001.001.000002,L15291
001001.001.000004,L15291
001001.001.000003,L15291
001001.001.000059,L15291
001001.001.000005,L15291
001001.001.000008,L15291
001001.001.000006,L15291
001001.001.000060,L15291
001001.001.000007,L15291
001001.001.000009,L15291
001001.001.000010,L15291
001001.001.000013,L15291
001001.001.000011,L15291
001001.001.000012,L15291
001001.001.000015,L15291
001001.001.000061,L15291
001001.001.000014,L15291
001001.001.000016,L15291
001001.001.000017,L15291
001001.001.000020,L15291
001001.001.000018,L15291
001001.001.000019,L15291
001001.001.000021,L15291
001001.001.000062,L15291
001001.001.000098,L15291
001001.001.000022,L15291
001001.001.000099,L15291
001001.001.000100,L15291
001001.001.000023,L15291
001001.001.000026,L15291
001001.001.000024,L15291
001001.001.000025,L15291
001001.001.000027,L15291
001001.001.000101,L15291
001001.001.000102,L15291
001001.001.000063,L15291
001001.001.000103,L15291
001001.001.000104,L15291
001001.001.000105,L15291
001001.001.000106,L15291
001001.001.000028,L15291
001001.001.000031,L15291
001001.001.000029,L15291
001001.001.000030,L15291
001001.001.000032,L15291
001001.001.000064,L15291
001001.001.000033,L15291
001001.001.000036,L15291
001001.001.000034,L15291
001001.001.000035,L15291
001001.001.000037,L15291
001001.001.000065,L15291
001001.001.000038,L15291
001001.001.000041,L15291
001001.001.000039,L15291
001001.001.000040,L15291
001001.001.000042,L15291
001001.001.000066,L15291
001001.001.000043,L15291
001001.001.000046,L15291
001001.001.000044,L15291
001001.001.000045,L15291
001001.001.000047,L15291
001001.001.000067,L15291
001001.001.000048,L15291
001001.001.000051,L15291
001001.001.000049,L15291
001001.001.000050,L15291
001001.001.000052,L15291
001001.001.000068,L15291
001001.001.000053,L15291
001001.001.000056,L15291
001001.001.000054,L15291
001001.001.000055,L15291
001001.001.000057,L15291
001001.001.000069,L15291
001001.001.000070,L15291
001001.001.000071,L15291
001001.001.000072,L15291
001001.001.000073,L15291
001001.001.000074,L15291
001001.001.000075,L15291
001001.001.000076,L15291
001001.001.000077,L15291
001001.001.000078,L15291
001001.001.000079,L15291
001001.001.000080,L15291
001001.001.000081,L15291
001001.001.000082,L15291
001001.001.000083,L15291
001001.001.000084,L15291
001001.001.000085,L15291
001001.001.000086,L15291
001001.001.000087,L15291
001001.001.000088,L15291
001001.001.000089,L15291
001001.001.000090,L15291
001001.001.000091,L15291
001001.001.000092,L15291
001001.001.000093,L15291
001001.001.000094,L15291
001001.001.000095,L15291
001001.001.000096,L15291
001001.001.000097,L15291
001001.001.Lim001,HDEL
002001.000001,L22715
002001.000002,L22715c200
002001.000002,L20736
002001.000003,L22715c200
002001.000003,L20736
002001.000004,L22715c200
002001.000004,L20736
002001.000005,L22715c200
002001.000005,L20736
002001.000006,L22715c200
002001.000006,L20736
002001.000007,L22715c200
002001.000007,L20736
002001.000008,L22715c200
002001.000009,L22715c200
002001.000010,L22715c200
002001.000011,L22715c200
002001.000012,L22715c200
002001.000013,L22715c200
002001.000013,L21466
002001.000014,L22715c200
002001.000014,L21466
002001.000015,L22715c200
002001.000015,L21466
002001.000016,L22715c200
002001.000016,L21466
002001.000017,L22715c200
002001.000018,L22715c200
002001.000019,L22715c200
002001.000020,L22715c200
002001.000021,L22715c200
002001.000022,L22715c200
002001.000023,L22715c200
002001.000023,L21466
002001.000024,L22715c200
002001.000024,L21466
002001.000025,L22715c200
002001.000025,L21466
002001.000026,L22715c200
002001.000026,L21466
002001.000027,L22715c200
002001.000028,L22715c200
002001.000029,L22715c200
002001.000030,L22715c200
002001.000031,L22715c200
002001.000032,L22715c200
002001.000033,L22715c200
002001.000034,L22715c200
002001.000035,L22715c200
002001.000036,L22715c200
002001.000037,L22715c200
002001.000037,L21466
002001.000038,L22715c200
002001.000038,L21466
002001.000039,L22715c200
002001.000039,L21466
002001.000040,L22715c200
002001.000040,L21466
002001.000041,L22715c200
002001.000042,L22715c200
002001.000043,L22715c200
002001.000044,L22715c200
002001.000045,L22715c200
002001.000046,L22715c200
002001.000047,L22715c200
002001.000048,L22715c200
002001.000049,L22715c200
002001.000050,L22715c200
002001.000051,L22715c200
002001.000052,L22715c200
002001.000053,L22715c200
002001.000054,L22715c200
002001.000055,L22715c200
002001.000055,L21466
002001.000056,L22715c200
002001.000056,L21466
002001.000057,L22715c200
002001.000057,L21466
002001.000058,L22715c200
002001.000058,L21466
002001.000059,L22715c200
002001.000060,L22715c200
002001.000061,L22715c200
002001.000062,L22715c200
002001.000063,L22715c200
002001.000064,L22715c200
002001.000065,L22715c200
002001.000066,L22715c200
002001.000067,L22715c200
002001.000068,L22715c200
002001.000069,L22715c200
002001.000070,L22715c200
002001.000071,L22715c200
002001.000072,L22715c200
002001.000073,L22715c200
002001.000074,L22715c200
002001.000075,L22715c200
002001.000076,L22715c200
002001.000077,L22715c200
002001.000077,L21466
002001.000078,L22715c200
002001.000078,L21466
002001.000079,L22715c200
002001.000079,L21466
002001.000080,L22715c200
002001.000080,L21466
