codigo,tipo_fuente
T9848LS,probabilidad
T8636c73,probabilidad
T7378,probabilidad
T5612,probabilidad
T1494,probabilidad
T1896,probabilidad
T2317LS,probabilidad
T5723LS,probabilidad
T6172,probabilidad
T6172n,probabilidad
T5520LS,probabilidad
T5109LS,probabilidad
T10528,probabilidad
c46,probabilidad
T5520,probabilidad
T6385n,probabilidad
T2353LS,probabilidad
T7333,probabilidad
T10276,probabilidad
u27,probabilidad
T6385,probabilidad
T5842,probabilidad
T5842n,probabilidad
T6976,probabilidad
T3585,probabilidad
T6844,probabilidad
T6844n,probabilidad
T668LS,probabilidad
LS,probabilidad
T7194,probabilidad
T7096,probabilidad
T5803,probabilidad
T6989LS,probabilidad
T6496,probabilidad
T5713LS,probabilidad
T7663,probabilidad
T2177,probabilidad
T5713,probabilidad
T8637,probabilidad
T6962LS,probabilidad
T7771,probabilidad
T5118LS,probabilidad
T7370,probabilidad
T7574,probabilidad
T5986,probabilidad
T7405,probabilidad
T5714,probabilidad
T7417,probabilidad
T7651,probabilidad
T6956,probabilidad
T3999LS,probabilidad
u18,probabilidad
T9787,probabilidad
T7476,probabilidad
T3908,probabilidad
T7851,probabilidad
T4899,probabilidad
T6070,probabilidad
T2118,probabilidad
T2613,probabilidad
T3473,probabilidad
T5663,probabilidad
u28,probabilidad
T5466n,probabilidad
T7192,probabilidad
T7096c74,probabilidad
T8043,probabilidad
T9221,probabilidad
T333,probabilidad
T7409LS,probabilidad
T7354n,probabilidad
T7194n,probabilidad
T7049,probabilidad
T7354,probabilidad
T117,probabilidad
T6835,probabilidad
T5047,probabilidad
T4644,probabilidad
K14,probabilidad
T6620LS,probabilidad
T380,probabilidad
T867LS,probabilidad
T4539,probabilidad
T5081,probabilidad
T6820LS,probabilidad
T1115CA,probabilidad
T7401LS,probabilidad
T6632,probabilidad
T2427,probabilidad
T3163,probabilidad
T2440,probabilidad
T6835LS,probabilidad
T6632n,probabilidad
T6340,probabilidad
T5475,probabilidad
T5803n,probabilidad
T7096c75,probabilidad
T6070n,probabilidad
T335,probabilidad
T5475n,probabilidad
T2733,probabilidad
T2318,probabilidad
T2734,probabilidad
T6389,probabilidad
T7043,probabilidad
T6505LS,probabilidad
T4273,probabilidad
u24,probabilidad
T6340n,probabilidad
T4701,probabilidad
T8378,probabilidad
T5121n,probabilidad
T2384n,probabilidad
T5714n,probabilidad
T4828,probabilidad
T4828n,probabilidad
T6620,probabilidad
T5118,probabilidad
T7663c52,probabilidad
T247,probabilidad
T8020,probabilidad
L20274,linea
L12120,linea
L11176,linea
L12158,linea
L2305,linea
L6979,linea
L3160,linea
L1992,linea
L7397,linea
L3359,linea
L21570,linea
L12157,linea
L12157c153,linea
L1406c153,linea
L1341,linea
L1406,linea
L3401,linea
L11267,linea
L369,linea
L3492,linea
L7084,linea
L9808,linea
L22145,linea
L9676,linea
L14923,linea
L14922,linea
L6915,linea
L551,linea
L10092,linea
L477,linea
L6178,linea
L1790,linea
L3513,linea
L3760,linea
L8445,linea
L3493,linea
L1407,linea
L5263,linea
L7481,linea
L3698,linea
L6915u17,linea
L21249,linea
L8834,linea
L15291c36,linea
L15291c37,linea
L12129,linea
L3545,linea
L481,linea
L3744,linea
L3383,linea
L10549,linea
L8834c153,linea
L5455,linea
L12670,linea
L5455c153,linea
L3501,linea
L3731,linea
L3460,linea
L7000,linea
L12020,linea
L12363,linea
L21615,linea
L11529,linea
L11529c153,linea
L2166,linea
L4834,linea
L4743,linea
L3529,linea
L22c181,linea
L20057c182,linea
L21345,linea
u29,linea
L9088,linea
L7412,linea
L5311c4,linea
L1176,linea
L3456,linea
L1614,linea
L1461,linea
L776,linea
L11406,linea
L2771,linea
L10621,linea
L1560,linea
L10228,linea
L5846,linea
L4509,linea
L11613,linea
L17711,linea
L1122,linea
L20591,linea
L6232,linea
L5964,linea
L3469,linea
L1786,linea
L2637,linea
L9088c153,linea
L14924,linea
L366,linea
L5951,linea
L4498,linea
L21572,linea
L1235,linea
L3354,linea
L7393,linea
L14925c72,linea
L3514,linea
L3451,linea
L2031,linea
L17684,linea
L21568,linea
L7400c29,linea
L7436c29,linea
L3452,linea
c39,linea
L11759,linea
c40,linea
c41,linea
c42,linea
c43,linea
c44,linea
c45,linea
L7369u33,linea
c47,linea
L14926,linea
L4827,linea
c48,linea
c49,linea
c50,linea
L483,linea
c51,linea
c52,linea
c53,linea
c54,linea
c55,linea
c56,linea
c57,linea
c58,linea
c59,linea
L2138c153,linea
L3448,linea
L12175c183,linea
c60,linea
c61,linea
c62,linea
L7292,linea
L7430,linea
L12175,linea
L2138,linea
L9496,linea
c63,linea
L9477,linea
c64,linea
L7439c30,linea
c65,linea
L694,linea
L7441,linea
u30,linea
L6336,linea
L2752,linea
c67,linea
c68,linea
L6891c38,linea
c66,linea
c69,linea
c71,linea
c70,linea
L9097,linea
L9405c184,linea
L9692,linea
L6099,linea
L12968,linea
L7389,linea
L20603,linea
L8200,linea
L7433,linea
L7803c185,linea
L7293,linea
L885,linea
L7421,linea
L9405c186,linea
L11301,linea
L9760,linea
L7384,linea
L7421c31,linea
c153,linea
L9405c187,linea
L11262,linea
L4812,linea
L9405c188,linea
L20058c153,linea
L7452,linea
L11301c153,linea
L1975,linea
L9405,linea
L7424c32,linea
L6002,linea
L6510,linea
L7455,linea
L5746,linea
u32,linea
L7352,linea
L6720,linea
L9739,linea
L9435,linea
L10626,linea
L1488,linea
L7320,linea
L4937,linea
L6891,linea
L4353,linea
L1164,linea
L2271,linea
L10329,linea
L2260,linea
L6644,linea
L15291c34,linea
L15291c35,linea
L1764,linea
L15291c33,linea
L4386,linea
L15291,nivel
HDEL,nivel
L22715,nivel
L22715c200,nivel
L20736,nivel
L21466,nivel
L22715c201,nivel
L17714,nivel
L1368,nivel
L3462,nivel
L12261,nivel
L3501c202,nivel
L4834c203,nivel
L6124c204,nivel
u46,nivel
u45,nivel
L6124c205,nivel
L4191,nivel
L10054,nivel
L4046,nivel
L9172,nivel
L12312,nivel
L20057,nivel
L3172,nivel
L292,nivel
L15072,nivel
L7288,nivel
L1411,nivel
L11770,nivel
L74,nivel
L484,nivel
L15138,nivel
L526,nivel
L8826,nivel
L8826c189,nivel
